product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
FF001,Amul Mithai Mate Tin 400 g,,85,,,,Fresh & Frozen,Dairy,Condensed,Amul Mithai Mate Tin 400 g,,,f1.jpg,,Amul,1
FF002,Nestle Milkmaid Tin 400 g,,105,,,,Fresh & Frozen,Dairy,Condensed,Nestle Milkmaid Tin 400 g,,,f2.jpg,,Nestle,1
FF003,Britannia Cheese Block 400gm,,235,,,,Fresh & Frozen,Dairy,Cheese,Britannia Cheese Block 400gm,,,f3.jpg,,Britannia,1
FF004,Britannia Cheese Block 1kg,,465,,,,Fresh & Frozen,Dairy,Cheese,Britannia Cheese Block 1kg,,,f4.jpg,,Britannia,1
FF005,Amul Cheese Pizza Mozzarella 1 Kg,,335,,,,Fresh & Frozen,Dairy,Cheese,Amul Cheese Pizza Mozzarella 1 Kg,,,f5.jpg,,Amul,1
FF006,Amul Cheese Pizza Mozzarella 200 g,,86,,,,Fresh & Frozen,Dairy,Cheese,Amul Cheese Pizza Mozzarella 200 g,,,f6.jpg,,Amul,1
FF007,Britannia Cheese Spread Mexican Mirchi 180gm,,82,,,,Fresh & Frozen,Dairy,Cheese,Britannia Cheese Spread Mexican Mirchi 180gm,,,f7.jpg,,Britannia,1
FF008,Amul Processed Cheese Block 1 Kg,,357,,,,Fresh & Frozen,Dairy,Cheese,Amul Processed Cheese Block 1 Kg,,,f8.jpg,,Amul,1
FF009,Amul Processed Cheese Chiplets 200 g,,101,,,,Fresh & Frozen,Dairy,Cheese,Amul Processed Cheese Chiplets 200 g,,,f9.jpg,,Amul,1
FF010,Amul Cheese Spread Punchy Pepper 200gm,,75,,,,Fresh & Frozen,Dairy,Cheese,Amul Cheese Spread Punchy Pepper 200gm,,,f10.jpg,,Amul,1
FF011,Amul Processed Cheese Slices 750 g,,325,,,,Fresh & Frozen,Dairy,Cheese,Amul Processed Cheese Slices 750 g,,,f11.jpg,,Amul,1
FF012,Amul Processed Cheese Slices 200 g,,112,,,,Fresh & Frozen,Dairy,Cheese,Amul Processed Cheese Slices 200 g,,,f12.jpg,,Amul,1
FF013,Amul Cutting Cheese Gouda 250gm,,190,,,,Fresh & Frozen,Dairy,Cheese,Amul Cutting Cheese Gouda 250gm,,,f13.jpg,,Amul,1
FF014,Amul Processed Cheese Eoe Tin 400 g,,185,,,,Fresh & Frozen,Dairy,Cheese,Amul Processed Cheese Eoe Tin 400 g,,,f14.jpg,,Amul,1
FF015,Britannia Processed Cheese Cubes 200 g,,118,,,,Fresh & Frozen,Dairy,Cheese,Britannia Processed Cheese Cubes 200 g,,,f15.jpg,,Britannia,1
FF016,Amul Cheese Slice 100gm,,65,,,,Fresh & Frozen,Dairy,Cheese,Amul Cheese Slice 100gm,,,f16.jpg,,Amul,1
FF017,Go Mozarella Cheese 200 g,,90,,,,Fresh & Frozen,Dairy,Cheese,Go Mozarella Cheese 200 g,,,f17.jpg,,GO,1
FF018,Britannia Processed Cheesy Block 1 Kg,,395,,,,Fresh & Frozen,Dairy,Cheese,Britannia Processed Cheesy Block 1 Kg,,,f18.jpg,,Britannia,1
FF019,Mother Dairy Cheese Cube 180gm ,,110,,,,Fresh & Frozen,Dairy,Cheese,Mother Dairy Cheese Cube 180gm ,,,f19.jpg,,Mother Dairy,1
FF020,Go Cheese Mozzarella Shreded 2 Kg,,860,,,,Fresh & Frozen,Dairy,Cheese,Go Cheese Mozzarella Shreded 2 Kg,,,f20.jpg,,GO,1
FF021,Go Pizza Cheese Block 200 g,,99,,,,Fresh & Frozen,Dairy,Cheese,Go Pizza Cheese Block 200 g,,,f21.jpg,,GO,1
FF022,Go Processed Cheese Slices 750 g,,350,,,,Fresh & Frozen,Dairy,Cheese,Go Processed Cheese Slices 750 g,,,f22.jpg,,GO,1
FF023,Go Pizza Cheese Block 1 Kg,,370,,,,Fresh & Frozen,Dairy,Cheese,Go Pizza Cheese Block 1 Kg,,,f23.jpg,,GO,1
FF024,Puck Cream Cheese Spread 500gm ,,650,,,,Fresh & Frozen,Dairy,Cheese,Puck Cream Cheese Spread 500gm ,,,f24.jpg,,Puck,1
FF025,Go Processed Cheese Slices Block 1kg,,355,,,,Fresh & Frozen,Dairy,Cheese,Go Processed Cheese Slices Block 1kg,,,f25.jpg,,GO,1
FF026,Britannia Cheese Cubes 200gm,,118,,,,Fresh & Frozen,Dairy,Cheese,Britannia Cheese Cubes 200gm,,,f26.jpg,,Britannia,1
FF027,Go Processed Cheese Slices Block 400gm ,,185,,,,Fresh & Frozen,Dairy,Cheese,Go Processed Cheese Slices Block 400gm ,,,f27.jpg,,GO,1
FF028,Go Cheese Mozzarella Block 1 Kg,,420,,,,Fresh & Frozen,Dairy,Cheese,Go Cheese Mozzarella Block 1 Kg,,,f28.jpg,,GO,1
FF029,Britannia Cheese Spread Tub Pepper 180gm,,82,,,,Fresh & Frozen,Dairy,Cheese,Britannia Cheese Spread Tub Pepper 180gm,,,f29.jpg,,Britannia,1
FF030,Go Mozzarella Block 1kg,,420,,,,Fresh & Frozen,Dairy,Cheese,Go Mozzarella Block 1kg,,,f30.jpg,,GO,1
FF031,Go Ceese Wedges Plain 140gm,,90,,,,Fresh & Frozen,Dairy,Cheese,Go Ceese Wedges Plain 140gm,,,f31.jpg,,GO,1
FF032,Britannia Pizza Cheese Block 400 g,,230,,,,Fresh & Frozen,Dairy,Cheese,Britannia Pizza Cheese Block 400 g,,,f32.jpg,,Britannia,1
FF033,Amul Cheese Spread Spicy Garlic 200gm,,75,,,,Fresh & Frozen,Dairy,Cheese,Amul Cheese Spread Spicy Garlic 200gm,,,f33.jpg,,Amul,1
FF034,Britannia Pizza Cheese Block 200 g,,120,,,,Fresh & Frozen,Dairy,Cheese,Britannia Pizza Cheese Block 200 g,,,f34.jpg,,Britannia,1
FF035,Britannia Processed Cheese Block 1 Kg,,465,,,,Fresh & Frozen,Dairy,Cheese,Britannia Processed Cheese Block 1 Kg,,,f35.jpg,,Britannia,1
FF036,Britannia Processed Cheese Slices 476 G,,314,,,,Fresh & Frozen,Dairy,Cheese,Britannia Processed Cheese Slices 476 G,,,f36.jpg,,Britannia,1
FF037,Britannia Processed Cheese Slices 200 g,,138,,,,Fresh & Frozen,Dairy,Cheese,Britannia Processed Cheese Slices 200 g,,,f37.jpg,,Britannia,1
FF038,GO Flour Pepper Cheese Spread Tub 200GM,,79,,,,Fresh & Frozen,Dairy,Cheese,GO Flour Pepper Cheese Spread Tub 200GM,,,f38.jpg,,GO,1
FF039,Go Cheese Slice 200gm,,120,,,,Fresh & Frozen,Dairy,Cheese,Go Cheese Slice 200gm,,,f39.jpg,,GO,1
FF040,Go Cheese Slice 40gm,,25,,,,Fresh & Frozen,Dairy,Cheese,Go Cheese Slice 40gm,,,f40.jpg,,GO,1
FF041,Go Cheese Slice 100gm,,59,,,,Fresh & Frozen,Dairy,Cheese,Go Cheese Slice 100gm,,,f41.jpg,,GO,1
FF042,Kraft Parmesan Grated Cheese 198 gm ,,780,,,,Fresh & Frozen,Dairy,Cheese,Kraft Parmesan Grated Cheese 198 gm ,,,f42.jpg,,Kraft,1
FF043,Britannia Processed Cheese Block 400 g,,235,,,,Fresh & Frozen,Dairy,Cheese,Britannia Processed Cheese Block 400 g,,,f43.jpg,,Britannia,1
FF044,Go Processed Cheese 400gm,,195,,,,Fresh & Frozen,Dairy,Cheese,Go Processed Cheese 400gm,,,f44.jpg,,GO,1
FF045,"Amul Cheese Spread Plain, 400 g",,140,,,,Fresh & Frozen,Dairy,Cheese,"Amul Cheese Spread Plain, 400 g",,,f45.jpg,,Amul,1
FF046,Amul Cheese Spread Oregano Pickle 200gm,,75,,,,Fresh & Frozen,Dairy,Cheese,Amul Cheese Spread Oregano Pickle 200gm,,,f46.jpg,,Amul,1
FF047,Amul Cheese Spread Oregano Pickle 24X200gm,,1800,,,,Fresh & Frozen,Dairy,Cheese,Amul Cheese Spread Oregano Pickle 24X200gm,,,f47.jpg,,Amul,1
FF048,"Britannia Cheese Spread Plain , 180 g",,81,,,,Fresh & Frozen,Dairy,Cheese,"Britannia Cheese Spread Plain , 180 g",,,f48.jpg,,Britannia,1
FF049,Go Cheddar Cheese Diced 2 Kg,,950,,,,Fresh & Frozen,Dairy,Cheese,Go Cheddar Cheese Diced 2 Kg,,,f49.jpg,,Britannia,1
FF050,Britannia Cheese Slice 100gm,,70,,,,Fresh & Frozen,Dairy,Cheese,Britannia Cheese Slice 100gm,,,f50.jpg,,Britannia,1
FF051,Britannia Cheese Slice 200gm,,138,,,,Fresh & Frozen,Dairy,Cheese,Britannia Cheese Slice 200gm,,,f51.jpg,,Britannia,1
FF052,Britannia Cheese Slice 480gm,,320,,,,Fresh & Frozen,Dairy,Cheese,Britannia Cheese Slice 480gm,,,f52.jpg,,Britannia,1
FF053,Go Cheese Blend Diced 2 Kg,,830,,,,Fresh & Frozen,Dairy,Cheese,Go Cheese Blend Diced 2 Kg,,,f53.jpg,,GO,1
FF054,Amul Processd Cheese 500 g Chiplet,,225,,,,Fresh & Frozen,Dairy,Cheese,Amul Processd Cheese 500 g Chiplet,,,f54.jpg,,Amul,1
FF055,Go Cheese Slice 900 g,,380,,,,Fresh & Frozen,Dairy,Cheese,Go Cheese Slice 900 g,,,f55.jpg,,GO,1
