product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
FV01,Pomegranate 3 pcs,,128,,,,Fruits & Vegetables,Fruits,,Pomegranate 3 pcs,,,fv1.jpg,,grocode,1
FV02,Water Melon - Kiran 1 pc,,45,,,,Fruits & Vegetables,Fruits,,Water Melon - Kiran 1 pc,,,fv2.jpg,,grocode,1
FV03,Apple -Washington 3 pcs,,89,,,,Fruits & Vegetables,Fruits,,Apple -Washington 3 pcs,,,fv3.jpg,,grocode,1
FV04,Banana - Robusta Semi Ripe Premium 500 gm,,10,,,,Fruits & Vegetables,Fruits,,Banana - Robusta Semi Ripe Premium 500 gm,,,fv4.jpg,,grocode,1
FV05,Mango - Banganapalli  1 kg,,39,,,,Fruits & Vegetables,Fruits,,Mango - Banganapalli  1 kg,,,fv5.jpg,,grocode,1
FV06,Papaya Local - Premium 1 pc,,49,,,,Fruits & Vegetables,Fruits,,Papaya Local - Premium 1 pc,,,fv6.jpg,,grocode,1
FV07,Cherry 1 kg,,499,,,,Fruits & Vegetables,Fruits,,Cherry 1 kg,,,fv7.jpg,,grocode,1
FV08,Mango - Raw 3 pcs,,38,,,,Fruits & Vegetables,Fruits,,Mango - Raw 3 pcs,,,fv8.jpg,,grocode,1
FV09,Apple - Royal Gala 3 pcs,,95,,,,Fruits & Vegetables,Fruits,,Apple - Royal Gala 3 pcs,,,fv9.jpg,,grocode,1
FV10,Kiwi - New Zealand 1 pc,,45,,,,Fruits & Vegetables,Fruits,,Kiwi - New Zealand 1 pc,,,fv10.jpg,,grocode,1
FV11,Grapes - Bangalore Blue 500 gm,,60,,,,Fruits & Vegetables,Fruits,,Grapes - Bangalore Blue 500 gm,,,fv11.jpg,,grocode,1
FV12,Mango - Himayath 1 kg,,129,,,,Fruits & Vegetables,Fruits,,Mango - Himayath 1 kg,,,fv12.jpg,,grocode,1
FV13,Mango - Chinna Rasalu 1 kg,,79,,,,Fruits & Vegetables,Fruits,,Mango - Chinna Rasalu 1 kg,,,fv13.jpg,,grocode,1
FV14,Mango - Badami 1 kg,,105,,,,Fruits & Vegetables,Fruits,,Mango - Badami 1 kg,,,fv14.jpg,,grocode,1
FV15,Kiwi - Sun gold 1 pc,,45,,,,Fruits & Vegetables,Fruits,,Kiwi - Sun gold 1 pc,,,fv15.jpg,,grocode,1
FV16,Green Apple 3 pcs,,149,,,,Fruits & Vegetables,Fruits,,Green Apple 3 pcs,,,fv16.jpg,,grocode,1
FV17,Mango - Desheri 1 kg,,89,,,,Fruits & Vegetables,Fruits,,Mango - Desheri 1 kg,,,fv17.jpg,,grocode,1
FV18,Mango - Malgoa 1 kg,,110,,,,Fruits & Vegetables,Fruits,,Mango - Malgoa 1 kg,,,fv18.jpg,,grocode,1
FV19,Grapes - Bangalore Blue 250 gm,,30,,,,Fruits & Vegetables,Fruits,,Grapes - Bangalore Blue 250 gm,,,fv19.jpg,,grocode,1
FV20,Mango - Pddarasalu 1 kg,,79,,,,Fruits & Vegetables,Fruits,,Mango - Pddarasalu 1 kg,,,fv20.jpg,,grocode,1
FV21,Pineapple 1 pc,,56,,,,Fruits & Vegetables,Fruits,,Pineapple 1 pc,,,fv21.jpg,,grocode,1
FV22,Mango - Kesar 1 kg,,89,,,,Fruits & Vegetables,Fruits,,Mango - Kesar 1 kg,,,fv22.jpg,,grocode,1
