product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
PeC50,"Godrej Expert Creme Hair Colour Natural Brown, 20 g (colo...",,30,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Godrej Expert Creme Hair Colour Natural Brown, 20 g  colo",,,p50.jpg,,Godrej Expert,1
PeC51,"Godrej Expert Creme Hair Colour Dark Brown, 20 g (coloura...",,30,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Godrej Expert Creme Hair Colour Dark Brown, 20 g  coloura",,,p51.jpg,,Godrej Expert,1
PeC52,"Indica Hair Colour Darkest Brown, 40 ml",,30,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Indica Hair Colour Darkest Brown, 40 ml",,,p52.jpg,,Indica,1
PeC53,"Indica Hair Colour Natural Black, 40 ml",,30,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Indica Hair Colour Natural Black, 40 ml",,,p53.jpg,,Indica,1
PeC54,"Godrej Expert Hair Color Black Brown Creme, 20 g",,30,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Godrej Expert Hair Color Black Brown Creme, 20 g",,,p54.jpg,,Godrej Expert,1
PeC55,"Godrej Expert Hair Color Natural Black Creme, 20 g",,30,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Godrej Expert Hair Color Natural Black Creme, 20 g",,,p55.jpg,,Godrej Expert,1
PeC56,"Setwet Hair Gel Wet Look Hold, Pack of 12 X 10 ml",,120,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Setwet Hair Gel Wet Look Hold, Pack of 12 X 10 ml",,,p56.jpg,,Set Wet,1
PeC57,"Garnier Hair Colour Shade No 1 Hair, 40 ml",,69,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Garnier Hair Colour Shade No 1 Hair, 40 ml",,,p57.jpg,,Garnier,1
PeC58,Nupur Hair Mehendi 500 g,,140,,,,Personal Care,Hair Care,Hair Coloring & Styling,Nupur Hair Mehendi 500 g,,,p58.jpg,,Nupur,1
PeC59,Nupur Hair Mehendi 60 g,,22,,,,Personal Care,Hair Care,Hair Coloring & Styling,Nupur Hair Mehendi 60 g,,,p59.jpg,,Nupur,1
PeC60,Nupur Hair Mehendi 150 g,,45,,,,Personal Care,Hair Care,Hair Coloring & Styling,Nupur Hair Mehendi 150 g,,,p60.jpg,,Nupur,1
PeC61,Godrej Expert Hair Dye Pack of 8 X 3 g,,28,,,,Personal Care,Hair Care,Hair Coloring & Styling,Godrej Expert Hair Dye Pack of 8 X 3 g,,,p61.jpg,,Godrej Expert,1
PeC62,"Loreal Casting Cream Dark Chocolate Hair Colour, 72 ml",,545,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Loreal Casting Cream Dark Chocolate Hair Colour, 72 ml",,,p62.jpg,,Loreal,1
PeC63,"Loreal Paris Excel Creme Brown Hair Colour, 180 g",,515,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Loreal Paris Excel Creme Brown Hair Colour, 180 g",,,p63.jpg,,Loreal,1
PeC64,"Loreal Casting Cream Darkest Brown Hair Colour, 72 ml",,575,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Loreal Casting Cream Darkest Brown Hair Colour, 72 ml",,,p64.jpg,,Loreal,1
PeC65,"Loreal Casting Cream Ebony Black Hair Colour, 72 ml",,545,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Loreal Casting Cream Ebony Black Hair Colour, 72 ml",,,p65.jpg,,Loreal,1
PeC66,"Loreal Paris Excel Creme Burgundy Hair Colour, 172 g",,575,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Loreal Paris Excel Creme Burgundy Hair Colour, 172 g",,,p66.jpg,,Loreal,1
PeC67,"Loreal Paris Excel Creme Black Hair Colour, 180 g",,590,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Loreal Paris Excel Creme Black Hair Colour, 180 g",,,p67.jpg,,Loreal,1
PeC68,"Loreal Paris Excel Creme Brown Hair Colour, 172 g",,590,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Loreal Paris Excel Creme Brown Hair Colour, 172 g",,,p68.jpg,,Loreal,1
PeC69,"Garnier Color Natural Shade No 4 Hair Colour, 100 ml",,160,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Garnier Color Natural Shade No 4 Hair Colour, 100 ml",,,p69.jpg,,Garnier,1
PeC70,"Garnier Color Natural Shade No 3 Hair Colour, 100 ml",,160,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Garnier Color Natural Shade No 3 Hair Colour, 100 ml",,,p70.jpg,,Garnier,1
PeC71,"Garnier Color Naturals, 4 Brown, 100 ml",,160,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Garnier Color Naturals, 4 Brown, 100 ml",,,p71.jpg,,Garnier,1
PeC72,"Garnier Color Naturals, 3.16 Burgundy, 100 ml",,160,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Garnier Color Naturals, 3.16 Burgundy, 100 ml",,,p72.jpg,,Garnier,1
PeC73,"Garnier Color Naturals, 3 Darkest Brown, 100 ml",,160,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Garnier Color Naturals, 3 Darkest Brown, 100 ml",,,p73.jpg,,Garnier,1
PeC74,"Garnier Color Naturals, 1 Black, 100 ml",,160,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Garnier Color Naturals, 1 Black, 100 ml",,,p74.jpg,,Garnier,1
PeC75,"Godrej Expert Creme Hair Colour, Honey Brown, 40 ml",,35,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Godrej Expert Creme Hair Colour, Honey Brown, 40 ml",,,p75.jpg,,Garnier Expert,1
PeC76,"Godrej Expert Creme Hair Colour, Cinnamon Red, 40 ml",,35,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Godrej Expert Creme Hair Colour, Cinnamon Red, 40 ml",,,p76.jpg,,Garnier Expert,1
PeC77,"Indica Hair Colour Natural Black, Pack of 8 U X 3 g each",,136,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Indica Hair Colour Natural Black, Pack of 8 U X 3 g each",,,p77.jpg,,Indica,1
PeC78,"Garnier Color Natural Shade No 1 Hair Colour,100 ml",,160,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Garnier Color Natural Shade No 1 Hair Colour,100 ml",,,p78.jpg,,Garnier,1
PeC79,"Streax Hair Colour Darkest Brown, 40 ml",,30,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Streax Hair Colour Darkest Brown, 40 ml",,,p79.jpg,,Streax,1
PeC80,"Streax Hair Colour Natural Black, 40 ml",,30,,,,Personal Care,Hair Care,Hair Coloring & Styling,"Streax Hair Colour Natural Black, 40 ml",,,p80.jpg,,Streax,1
PeC81,Bigen Easy and Natural Hair Color N4 Brown,,149,,,,Personal Care,Hair Care,Hair Coloring & Styling,Bigen Easy and Natural Hair Color N4 Brown,,,p81.jpg,,Bigen,1
PeC82,Bigen Easy and Natural Hair Color N3 Darkest Brown,,149,,,,Personal Care,Hair Care,Hair Coloring & Styling,Bigen Easy and Natural Hair Color N3 Darkest Brown,,,p82.jpg,,Bigen,1
PeC83,Bigen Easy and Natural Hair Color MH5 ,,149,,,,Personal Care,Hair Care,Hair Coloring & Styling,Bigen Easy and Natural Hair Color MH5 ,,,p83.jpg,,Bigen,1
PeC84,"Park Avenue Shampoo Dry Beer, 200 ml",,160,,,,Personal Care,Hair Care,Hair Wash,"Park Avenue Shampoo Dry Beer, 200 ml",,,p84.jpg,,Park Avenue,1
PeC85,"Garnier Fructis Shampoo Good bye Damage, Pack of 12 X 7.5 ml",,36,,,,Personal Care,Hair Care,Hair Wash,"Garnier Fructis Shampoo Good bye Damage, Pack of 12 X 7.5 ml",,,p85.jpg,,Garnier,1
PeC86,Kesh King Shampoo 300 ml,,174,,,,Personal Care,Hair Care,Hair Wash,Kesh King Shampoo 300 ml,,,p86.jpg,,Kesh King,1
PeC87,"Biotique Shampoo Green Apple, 100 ml",,68,,,,Personal Care,Hair Care,Hair Wash,"Biotique Shampoo Green Apple, 100 ml",,,p87.jpg,,Biotique,1
PeC88,"Himalaya Shampoo Anti Hair Fall, 200 ml",,130,,,,Personal Care,Hair Care,Hair Wash,"Himalaya Shampoo Anti Hair Fall, 200 ml",,,p88.jpg,,Himalaya,1
PeC89,"Himalaya Shampoo Daily Care, Protein Gentle, 200 ml",,130,,,,Personal Care,Hair Care,Hair Wash,"Himalaya Shampoo Daily Care, Protein Gentle, 200 ml",,,p89.jpg,,Himalaya,1
PeC90,"Dove Shampoo Hair Fall Rescue, 650 ml",,410,,,,Personal Care,Hair Care,Hair Wash,"Dove Shampoo Hair Fall Rescue, 650 ml",,,p90.jpg,,Dove,1
PeC91,"Dove Shampoo Intense Repair, 650 ml",,410,,,,Personal Care,Hair Care,Hair Wash,"Dove Shampoo Intense Repair, 650 ml",,,p91.jpg,,Dove,1
PeC92,"Tresemme Conditioner Smooth & Shine, 225 ml",,165,,,,Personal Care,Hair Care,Hair Wash,"Tresemme Conditioner Smooth & Shine, 225 ml",,,p92.jpg,,Tresemme,1
PeC93,"Tresemme Conditioner Climate Control, 225 ml",,165,,,,Personal Care,Hair Care,Hair Wash,"Tresemme Conditioner Climate Control, 225 ml",,,p93.jpg,,Tresemme,1
PeC94,"Loreal Paris Shampoo Fall Repair, 640 ml",,339,,,,Personal Care,Hair Care,Hair Wash,"Loreal Paris Shampoo Fall Repair, 640 ml",,,p94.jpg,,Loreal,1
PeC95,"Tresemme Shampoo Smooth & Shine, 600 ml",,345,,,,Personal Care,Hair Care,Hair Wash,"Tresemme Shampoo Smooth & Shine, 600 ml",,,p95.jpg,,Tresemme,1
PeC96,"Tresemme Shampoo Hairfall Defence, 600 ml",,345,,,,Personal Care,Hair Care,Hair Wash,"Tresemme Shampoo Hairfall Defence, 600 ml",,,p96.jpg,,Tresemme,1
PeC97,"Sunsilk Shampoo Black Shine, Pack of 64 U X 6 ml each",,64,,,,Personal Care,Hair Care,Hair Wash,"Sunsilk Shampoo Black Shine, Pack of 64 U X 6 ml each",,,p97.jpg,,Sunsilk,1
PeC98,"Dove Shampoo Daily Shine, 650 ml",,410,,,,Personal Care,Hair Care,Hair Wash,"Dove Shampoo Daily Shine, 650 ml",,,p98.jpg,,Dove,1
PeC99,"Chik Shampoo Hair Fall Prevent, 325 ml",,99,,,,Personal Care,Hair Care,Hair Wash,"Chik Shampoo Hair Fall Prevent, 325 ml",,,p99.jpg,,Chik,1
PeC100,"Loreal Shampoo 6 Oil Nourish, 360 ml",,259,,,,Personal Care,Hair Care,Hair Wash,"Loreal Shampoo 6 Oil Nourish, 360 ml",,,p100.jpg,,Loreal,1
PeC101,"Meera Shampoo Strong & Healthy, 20 U X 6 ml each",,40,,,,Personal Care,Hair Care,Hair Wash,"Meera Shampoo Strong & Healthy, 20 U X 6 ml each",,,p101.jpg,,Meera,1
PeC102,"Tresemme Conditioner Smooth & Shine, 12 U X 7.5 ml each",,48,,,,Personal Care,Hair Care,Hair Wash,"Tresemme Conditioner Smooth & Shine, 12 U X 7.5 ml each",,,p102.jpg,,Tresemme,1
PeC103,"Tresemme Shampoo Hair Fall Defence, 12 U X 7.5 ml each",,36,,,,Personal Care,Hair Care,Hair Wash,"Tresemme Shampoo Hair Fall Defence, 12 U X 7.5 ml each",,,p103.jpg,,Tresemme,1
PeC104,"Tresemme Shampoo Smooth & Shine, 12 X 7.5 ml",,36,,,,Personal Care,Hair Care,Hair Wash,"Tresemme Shampoo Smooth & Shine, 12 X 7.5 ml",,,p104.jpg,,Tresemme,1
PeC105,"Dove Conditioner Breakage Therapy, 180 ml",,165,,,,Personal Care,Hair Care,Hair Wash,"Dove Conditioner Breakage Therapy, 180 ml",,,p105.jpg,,Dove,1
PeC106,"Tresemme Shampoo Climate Control, 225 ml",,155,,,,Personal Care,Hair Care,Hair Wash,"Tresemme Shampoo Climate Control, 225 ml",,,p106.jpg,,Tresemme,1
PeC107,Kesh King Shampoo 120 ml,,96,,,,Personal Care,Hair Care,Hair Wash,Kesh King Shampoo 120 ml,,,p107.jpg,,Kesh King,1
PeC108,"Nyle Shampoo Dryness Control, 600 ml",,225,,,,Personal Care,Hair Care,Hair Wash,"Nyle Shampoo Dryness Control, 600 ml",,,p108.jpg,,Nyle,1
PeC109,"Nyle Shampoo Smooth & Silky, 600 ml",,225,,,,Personal Care,Hair Care,Hair Wash,"Nyle Shampoo Smooth & Silky, 600 ml",,,p109.jpg,,Nyle,1
