product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
pc01,"Pedigree Puppy Chicken & Milk, 15 kg",,2325,,,,Pet Care,Pet Food,,"Pedigree Puppy Chicken & Milk, 15 kg",,,pc1.jpg,,Pedigree,1
pc02,"Pedigree Adult Meat & Rice, 1.2Kg",,210,,,,Pet Care,Pet Food,,"Pedigree Adult Meat & Rice, 1.2Kg",,,pc2.jpg,,Pedigree,1
pc03,"Pedigree Puppy Chicken & Milk, 1.2 Kg",,220,,,,Pet Care,Pet Food,,"Pedigree Puppy Chicken & Milk, 1.2 Kg",,,pc3.jpg,,Pedigree,1
pc04,Pedigree Adult Wet Pouch 80 g,,30,,,,Pet Care,Pet Food,,Pedigree Adult Wet Pouch 80 g,,,pc4.jpg,,Pedigree,1
pc05,Chappi Adult Chiken & Rice,,2400,,,,Pet Care,Pet Food,,Chappi Adult Chiken & Rice,,,pc5.jpg,,Chappi,1
pc06,Drools Puppy Nutrition,,550,,,,Pet Care,Pet Food,,Drools Puppy Nutrition,,,pc6.jpg,,Drools,1
pc07,Pedigree Daily  Food For Puppies Chiken&Milk 1.2 kg,,220,,,,Pet Care,Pet Food,,Pedigree Daily  Food For Puppies Chiken&Milk 1.2 kg,,,pc7.jpg,,Pedigree,1
pc08,Pedigree Daily  Food For Puppies Chiken&Milk 10 kg,,1675,,,,Pet Care,Pet Food,,Pedigree Daily  Food For Puppies Chiken&Milk 10 kg,,,pc8.jpg,,Pedigree,1
pc09,Pedigree Daily  Food For Puppies Chiken&Milk 3 kg,,535,,,,Pet Care,Pet Food,,Pedigree Daily  Food For Puppies Chiken&Milk 3 kg,,,pc9.jpg,,Pedigree,1
pc10,Pedigree Meat and Rice10 kg Pouch,,1530,,,,Pet Care,Pet Food,,Pedigree Meat and Rice10 kg Pouch,,,pc10.jpg,,Pedigree,1
pc11,Pedgree Chicken and Vegetables 10kg ,,1530,,,,Pet Care,Pet Food,,Pedgree Chicken and Vegetables 10kg ,,,pc11.jpg,,Pedigree,1
pc12,Pedgree Chicken and Vegetables 3kg ,,500,,,,Pet Care,Pet Food,,Pedgree Chicken and Vegetables 3kg ,,,pc12.jpg,,Pedigree,1
pc13,Pedgree Chicken and Vegetables 1.2kg,,210,,,,Pet Care,Pet Food,,Pedgree Chicken and Vegetables 1.2kg,,,pc13.jpg,,Pedigree,1
pc14,Pedigree-Adult Chicken&Liver Gravy 80g,,30,,,,Pet Care,Pet Food,,Pedigree-Adult Chicken&Liver Gravy 80g,,,pc14.jpg,,Pedigree,1
pc15,Choostix Bones Mini 3X6 Pices,,120,,,,Pet Care,Pet Food,,Choostix Bones Mini 3X6 Pices,,,pc15.jpg,,Choostix,1
pc16,Choostix Twirls 150 g,,150,,,,Pet Care,Pet Food,,Choostix Twirls 150 g,,,pc16.jpg,,Choostix,1
pc17,Chootix Skin & Coat Plus 450 g,,175,,,,Pet Care,Pet Food,,Chootix Skin & Coat Plus 450 g,,,pc17.jpg,,Choostix,1
pc18,Choostix Chiken 450 g,,150,,,,Pet Care,Pet Food,,Choostix Chiken 450 g,,,pc18.jpg,,Choostix,1
pc19,Choostix Biskies Real Chiken 1 kg,,225,,,,Pet Care,Pet Food,,Choostix Biskies Real Chiken 1 kg,,,pc19.jpg,,Choostix,1
pc20,Choostix Biskies Real Milk 1 Kg,,225,,,,Pet Care,Pet Food,,Choostix Biskies Real Milk 1 Kg,,,pc20.jpg,,Choostix,1
pc21,Choostix Natural 450 g,,150,,,,Pet Care,Pet Food,,Choostix Natural 450 g,,,pc21.jpg,,Choostix,1
pc22,Choostix Brush Double Side Medium,,125,,,,Pet Care,pet Grooming,,Choostix Brush Double Side Medium,,,pc22.jpg,,Choostix,1
pc23,"Choostix Doggie Dip Shampoo, 200 ml",,135,,,,Pet Care,pet Grooming,,"Choostix Doggie Dip Shampoo, 200 ml",,,pc23.jpg,,Choostix,1
pc24,"Choostix Toy Hard Ball, Medium",,140,,,,Pet Care,pet Grooming,,"Choostix Toy Hard Ball, Medium",,,pc24.jpg,,Choostix,1
pc25,Choostix Steel Bowl Large,,165,,,,Pet Care,pet Grooming,,Choostix Steel Bowl Large,,,pc25.jpg,,Choostix,1
pc26,Choostix Rope Belt,,175,,,,Pet Care,pet Grooming,,Choostix Rope Belt,,,pc26.jpg,,Choostix,1
pc27,Choostix Steel Bowl Medium,,125,,,,Pet Care,pet Grooming,,Choostix Steel Bowl Medium,,,pc27.jpg,,Choostix,1
