product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
BC_197,Johnsons Baby Lotion 200 ml,,140,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Johnsons Baby Lotion 200 ml,,,baby197.jpg,,Johnsons,1
BC_198,Johnsons Baby Lotion 50 ml,,42,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Johnsons Baby Lotion 50 ml,,,baby198.jpg,,Johnsons,1
BC_199,Johnsons Baby Milk Cream 100 g,,135,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Johnsons Baby Milk Cream 100 g,,,baby199.jpg,,Johnsons,1
BC_200,Himalaya Boby Lotion 400 ml Bottle ,,215,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Himalaya Boby Lotion 400 ml Bottle ,,,baby200.jpg,,Himalaya,1
BC_201,Johnson & Johnson Baby Care Collection Gift Set Corton,,501,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Johnson & Johnson Baby Care Collection Gift Set Corton,,,baby201.jpg,,Johnsons,1
BC_202,Johnsons Baby Gift Pack Luxury,,501,,,,Baby Care,Bath & Skin,Baby Gift Packs,Johnsons Baby Gift Pack Luxury,,,baby202.jpg,,Johnsons,1
BC_203,Johnsons Baby Gift Pack Large,,301,,,,Baby Care,Bath & Skin,Baby Gift Packs,Johnsons Baby Gift Pack Large,,,baby203.jpg,,Johnsons,1
BC_204,Johnsons Baby Gift Pack small,,121,,,,Baby Care,Bath & Skin,Baby Gift Packs,Johnsons Baby Gift Pack small,,,baby204.jpg,,Johnsons,1
BC_205,Johnsons Baby Gift Pack Medium,,201,,,,Baby Care,Bath & Skin,Baby Gift Packs,Johnsons Baby Gift Pack Medium,,,baby205.jpg,,Johnsons,1
BC_197,Johnsons Baby Lotion 200 ml,,140,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Johnsons Baby Lotion 200 ml,,,baby197.jpg,,Johnsons,1
BC_198,Johnsons Baby Lotion 50 ml,,42,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Johnsons Baby Lotion 50 ml,,,baby198.jpg,,Johnsons,1
BC_199,Johnsons Baby Milk Cream 100 g,,135,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Johnsons Baby Milk Cream 100 g,,,baby199.jpg,,Johnsons,1
BC_200,Himalaya Boby Lotion 400 ml Bottle ,,215,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Himalaya Boby Lotion 400 ml Bottle ,,,baby200.jpg,,Himalaya,1
BC_201,Johnson & Johnson Baby Care Collection Gift Set Corton,,501,,,,Baby Care,Bath & Skin,Baby Lotion & Creams,Johnson & Johnson Baby Care Collection Gift Set Corton,,,baby201.jpg,,Johnsons,1
BC_202,Johnsons Baby Gift Pack Luxury,,501,,,,Baby Care,Bath & Skin,Baby Gift Packs,Johnsons Baby Gift Pack Luxury,,,baby202.jpg,,Johnsons,1
BC_203,Johnsons Baby Gift Pack Large,,301,,,,Baby Care,Bath & Skin,Baby Gift Packs,Johnsons Baby Gift Pack Large,,,baby203.jpg,,Johnsons,1
BC_204,Johnsons Baby Gift Pack small,,121,,,,Baby Care,Bath & Skin,Baby Gift Packs,Johnsons Baby Gift Pack small,,,baby204.jpg,,Johnsons,1
BC_205,Johnsons Baby Gift Pack Medium,,201,,,,Baby Care,Bath & Skin,Baby Gift Packs,Johnsons Baby Gift Pack Medium,,,baby205.jpg,,Johnsons,1
