product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
gs400,"American Topnotch Masoor Dal, 1 Kg",,105,,,,Grocery & Staples,Pulses & Sugar,,"American Topnotch Masoor Dal, 1 Kg",,,gs400.jpg,,American,1
gs401,"American Topnotch Green Matar, 1 Kg",,135,,,,Grocery & Staples,Pulses & Sugar,,"American Topnotch Green Matar, 1 Kg",,,gs401.jpg,,American,1
gs402,"Rangoli Tur Dal, 25 Kg",,2500,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Tur Dal, 25 Kg",,,gs402.jpg,,Rangoli,1
gs403,"Double Horse Premium Round Urad, 1 Kg",,140,,,,Grocery & Staples,Pulses & Sugar,,"Double Horse Premium Round Urad, 1 Kg",,,gs403.jpg,,Double,1
gs404,"Rangoli Premium Tur Dal, 5 Kg",,550,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Premium Tur Dal, 5 Kg",,,gs404.jpg,,Rangoli,1
gs405,Urad Whole White 2kg,,290,,,,Grocery & Staples,Pulses & Sugar,,Urad Whole White 2kg,,,gs405.jpg,,Urad,1
gs406,Urad Whole White 1kg,,145,,,,Grocery & Staples,Pulses & Sugar,,Urad Whole White 1kg,,,gs406.jpg,,Urad,1
gs407,Urad Whole White 500gm,,75,,,,Grocery & Staples,Pulses & Sugar,,Urad Whole White 500gm,,,gs407.jpg,,Urad,1
gs408,"Rangoli Premium Tur Dal, 1 Kg",,105,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Premium Tur Dal, 1 Kg",,,gs408.jpg,,Rangoli,1
gs409,"World Cup Premium Tur Dal, 50 Kg",,5500,,,,Grocery & Staples,Pulses & Sugar,,"World Cup Premium Tur Dal, 50 Kg",,,gs409.jpg,,World Cup,1
gs410,Chana Dal 1kg,,85,,,,Grocery & Staples,Pulses & Sugar,,Chana Dal 1kg,,,gs410.jpg,,Grocode,1
gs411,Chana Dal 500gm,,45,,,,Grocery & Staples,Pulses & Sugar,,Chana Dal 500gm,,,gs411.jpg,,Grocode,1
gs412,"Mother India Tur Dal, 50 Kg",,5399,,,,Grocery & Staples,Pulses & Sugar,,"Mother India Tur Dal, 50 Kg",,,gs412.jpg,,Mother India,1
gs413,"Tiger Premium Tur Dal, 25 Kg",,2999,,,,Grocery & Staples,Pulses & Sugar,,"Tiger Premium Tur Dal, 25 Kg",,,gs413.jpg,,Tiger,1
gs414,Toor Dal Standard 5kg,,650,,,,Grocery & Staples,Pulses & Sugar,,Toor Dal Standard 5kg,,,gs414.jpg,,Toor Dal,1
gs415,Toor Dal Standard 2kg,,250,,,,Grocery & Staples,Pulses & Sugar,,Toor Dal Standard 2kg,,,gs415.jpg,,Toor Dal,1
gs416,Toor Dal Standard 1kg,,130,,,,Grocery & Staples,Pulses & Sugar,,Toor Dal Standard 1kg,,,gs416.jpg,,Toor Dal,1
gs417,Toor Dal Standard 500 gm,,70,,,,Grocery & Staples,Pulses & Sugar,,Toor Dal Standard 500 gm,,,gs417.jpg,,Toor Dal,1
gs418,"Rangoli Premium Tur Dal, 25 Kg",,2700,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Premium Tur Dal, 25 Kg",,,gs418.jpg,,Rangoli,1
gs419,"Rangoli Moong Dal, 25 Kg",,3200,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Moong Dal, 25 Kg",,,gs419.jpg,,Rangoli,1
gs420,"Rangoli Masoor Dal, 25 Kg",,2500,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Masoor Dal, 25 Kg",,,gs420.jpg,,Rangoli,1
gs421,Roasted Bengal Gram {putana} 500gm,,55,,,,Grocery & Staples,Pulses & Sugar,,Roasted Bengal Gram putana 500gm,,,gs421.jpg,,Grocode,1
gs422,Roasted Bengal Gram {putana} 200gm,,28,,,,Grocery & Staples,Pulses & Sugar,,Roasted Bengal Gram putana 200gm,,,gs422.jpg,,Grocode,1
gs423,Urad Dal Split 1kg,,150,,,,Grocery & Staples,Pulses & Sugar,,Urad Dal Split 1kg,,,gs423.jpg,,Urad,1
gs424,Urad Dal Split 500 gm,,75,,,,Grocery & Staples,Pulses & Sugar,,Urad Dal Split 500 gm,,,gs424.jpg,,Urad,1
gs425,"Rangoli Chana Dal, 25 Kg",,1625,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Chana Dal, 25 Kg",,,gs425.jpg,,Rangoli,1
gs426,"Rangoli Moong Dal, 1 Kg",,150,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Moong Dal, 1 Kg",,,gs426.jpg,,Rangoli,1
gs427,"Rangoli Masoor Dal, 1 Kg",,95,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Masoor Dal, 1 Kg",,,gs427.jpg,,Rangoli,1
gs428,Moong Whole Green 1kg,,140,,,,Grocery & Staples,Pulses & Sugar,,Moong Whole Green 1kg,,,gs428.jpg,,Moong,1
gs429,Moong Whole Green 500 gm,,70,,,,Grocery & Staples,Pulses & Sugar,,Moong Whole Green 500 gm,,,gs429.jpg,,Moong,1
gs430,"Rangoli Premium Chana Dal, 1 Kg",,95,,,,Grocery & Staples,Pulses & Sugar,,"Rangoli Premium Chana Dal, 1 Kg",,,gs430.jpg,,Rangoli,1
gs431,"Hallmark Putana Dal, 30 Kg",,2100,,,,Grocery & Staples,Pulses & Sugar,,"Hallmark Putana Dal, 30 Kg",,,gs431.jpg,,Hallmark,1
gs432,Red Masoor Dal 1kg,,120,,,,Grocery & Staples,Pulses & Sugar,,Red Masoor Dal 1kg,,,gs432.jpg,,Red,1
gs433,Red Masoor Dal 500 gm,,65,,,,Grocery & Staples,Pulses & Sugar,,Red Masoor Dal 500 gm,,,gs433.jpg,,Red,1
gs434,"Hallmark Putana Dal, 1 Kg",,85,,,,Grocery & Staples,Pulses & Sugar,,"Hallmark Putana Dal, 1 Kg",,,gs434.jpg,,Hallmark,1
gs435,"Hallmark Premium Round Urad, 1 Kg",,160,,,,Grocery & Staples,Pulses & Sugar,,"Hallmark Premium Round Urad, 1 Kg",,,gs435.jpg,,Hallmark,1
gs436,"Hallmark Urad Chilka, 1 Kg",,105,,,,Grocery & Staples,Pulses & Sugar,,"Hallmark Urad Chilka, 1 Kg",,,gs436.jpg,,Hallmark,1
gs437,Vsr Toor Dal Pouich 1 kg,,145,,,,Grocery & Staples,Pulses & Sugar,,Vsr Toor Dal Pouich 1 kg,,,gs437.jpg,,VSR,1
gs438,Vsr Toor Dal Pouich 2 kg,,245,,,,Grocery & Staples,Pulses & Sugar,,Vsr Toor Dal Pouich 2 kg,,,gs438.jpg,,VSR,1
gs439,Vsr Toor Dal Pouich 500 gm,,60,,,,Grocery & Staples,Pulses & Sugar,,Vsr Toor Dal Pouich 500 gm,,,gs439.jpg,,VSR,1
gs440,"Hallmark Premium Tur Dal, 1 Kg",,135,,,,Grocery & Staples,Pulses & Sugar,,"Hallmark Premium Tur Dal, 1 Kg",,,gs440.jpg,,Hallmark,1
