product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
gs681,Elachi Green {Cardamom} 100gm,,175,,,,Grocery & Staples,Dry Fruits & Spices,Spices,Elachi Green Cardamom 100gm,,,gs681.jpg,,Grocode,1
gs682,Elachi Green {Cardamom} 50 gm,,90,,,,Grocery & Staples,Dry Fruits & Spices,Spices,Elachi Green Cardamom 50 gm,,,gs682.jpg,,Grocode,1
gs683,Aachi Sambar Powder Pouch 100gm,,36,,,,Grocery & Staples,Dry Fruits & Spices,Spices,Aachi Sambar Powder Pouch 100gm,,,gs683.jpg,,Aachi,1
gs684,Kasuri Methi 50gm,,38,,,,Grocery & Staples,Dry Fruits & Spices,Spices,Kasuri Methi 50gm,,,gs684.jpg,,Grocode,1
gs685,Catch Chat Masala Tin 100gm,,52,,,,Grocery & Staples,Dry Fruits & Spices,Spices,Catch Chat Masala Tin 100gm,,,gs685.jpg,,Catch,1
gs686,Catch Chat Masala Tin 50gm,,27,,,,Grocery & Staples,Dry Fruits & Spices,Spices,Catch Chat Masala Tin 50gm,,,gs686.jpg,,Catch,1
gs687,"BSF Laung, 50 g",,76,,,,Grocery & Staples,Dry Fruits & Spices,Spices,"BSF Laung, 50 g",,,gs687.jpg,,BSF,1
gs688,"BSF Kheera Magaz, 100 g",,178,,,,Grocery & Staples,Dry Fruits & Spices,Spices,"BSF Kheera Magaz, 100 g",,,gs688.jpg,,BSF,1
gs689,"BSF Khas Khas, 100 g",,61,,,,Grocery & Staples,Dry Fruits & Spices,Spices,"BSF Khas Khas, 100 g",,,gs689.jpg,,BSF,1
gs690,"BSF Kawab Chini, 100 g",,136,,,,Grocery & Staples,Dry Fruits & Spices,Spices,"BSF Kawab Chini, 100 g",,,gs690.jpg,,BSF,1
gs691,"BSF Green Elaichi, 500 g",,771,,,,Grocery & Staples,Dry Fruits & Spices,Spices,"BSF Green Elaichi, 500 g",,,gs691.jpg,,BSF,1
gs692,"BSF Green Elaichi, 50 g",,81,,,,Grocery & Staples,Dry Fruits & Spices,Spices,"BSF Green Elaichi, 50 g",,,gs692.jpg,,BSF,1
