product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
hom118,Odonil Gel 75 gm,,120,,,,Home Care,Air Fresheners,Room Fresheners,Odonil Gel 75 gm,,,h121.jpg,,Odonil,1
hom119,"Airwick Gel Everfresh, 50 g",,100,,,,Home Care,Air Fresheners,Room Fresheners,"Airwick Gel Everfresh, 50 g",,,h122.jpg,,Airwick,1
hom120,"Airwick Fresh Matic Refill Sandal, 250 ml",,249,,,,Home Care,Air Fresheners,Room Fresheners,"Airwick Fresh Matic Refill Sandal, 250 ml",,,h123.jpg,,Airwick,1
hom121,"Odonil One Touch Manual Diffuser Natural Starter, 12 ml",,99,,,,Home Care,Air Fresheners,Room Fresheners,"Odonil One Touch Manual Diffuser Natural Starter, 12 ml",,,h124.jpg,,Odonil,1
hom122,"Odonil One Touch Manual Diffuser Floral Starter,12 ml",,99,,,,Home Care,Air Fresheners,Room Fresheners,"Odonil One Touch Manual Diffuser Floral Starter,12 ml",,,h125.jpg,,Odonil,1
hom123,"Glade Sensations Automatic Diffuser Morning Freshness,12 ml",,225,,,,Home Care,Air Fresheners,Room Fresheners,"Glade Sensations Automatic Diffuser Morning Freshness,12 ml",,,h126.jpg,,Glade,1
hom124,"Airwick Fresh Matic Refill Rose, 250 ml",,249,,,,Home Care,Air Fresheners,Room Fresheners,"Airwick Fresh Matic Refill Rose, 250 ml",,,h127.jpg,,Airwick,1
hom125,"Glade Aerosol Lavender, 300 ml",,120,,,,Home Care,Air Fresheners,Room Fresheners,"Glade Aerosol Lavender, 300 ml",,,h128.jpg,,Glade,1
hom126,"Airwick Aroma Automatic Diffuser Rose, 18 ml",,199,,,,Home Care,Air Fresheners,Room Fresheners,"Airwick Aroma Automatic Diffuser Rose, 18 ml",,,h129.jpg,,Airwick,1
hom127,"Airwick Aroma Automatic Diffuser Lavender, 18 ml",,199,,,,Home Care,Air Fresheners,Room Fresheners,"Airwick Aroma Automatic Diffuser Lavender, 18 ml",,,h130.jpg,,Airwick,1
hom128,Glade Gel Floral 70 g,,65,,,,Home Care,Air Fresheners,Room Fresheners,Glade Gel Floral 70 g,,,h131.jpg,,Glade,1
hom129,"Ambipur Manual Diffuser Spring & Renewal, 275 g",,250,,,,Home Care,Air Fresheners,Room Fresheners,"Ambipur Manual Diffuser Spring & Renewal, 275 g",,,h132.jpg,,Airwick,1
hom130,Ambipur Spray 275 g,,250,,,,Home Care,Air Fresheners,Room Fresheners,Ambipur Spray 275 g,,,h133.jpg,,Ambipur,1
