Product Code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand ,status
PF01,Lotte Choco Pie Pack Of 6 X Rs. 10,,70,,,,Packaged Foods,Confectionary,Chocolates,Lotte Choco Pie Pack Of 6 X Rs. 10,,,pf301.jpg,,Lotte ,1
PF02,Lotte Choco Pie Pack Of 12 X Rs. 10,,120,,,,Packaged Foods,Confectionary,Chocolates,Lotte Choco Pie Pack Of 12 X Rs. 10,,,pf302.jpg,,Lotte,1
PF03,"Snickers Chocolate Snack Bar, Pack Of 3 X Rs. 15",,54,,,,Packaged Foods,Confectionary,Chocolates,"Snickers Chocolate Snack Bar, Pack Of 3 X Rs. 15",,,pf303.jpg,,Nestle,1
PF04,"Snickers Chocolate Miniatures, 150 g",,119,,,,Packaged Foods,Confectionary,Chocolates,"Snickers Chocolate Miniatures, 150 g",,,pf304.jpg,,Nestle,1
PF05,"Snickers Chocolate Minis Bag, 270 g",,199,,,,Packaged Foods,Confectionary,Chocolates,"Snickers Chocolate Minis Bag, 270 g",,,pf305.jpg,,Nestle,1
PF06,Snickers Chocolate Pack Of 3 X Rs. 30,,102,,,,Packaged Foods,Confectionary,Chocolates,Snickers Chocolate Pack Of 3 X Rs. 30,,,pf306.jpg,,Nestle,1
PF07,"Snickers Chocolate Snack Bar, Pack Of 32 X Rs. 15",,576,,,,Packaged Foods,Confectionary,Chocolates,"Snickers Chocolate Snack Bar, Pack Of 32 X Rs. 15",,,pf307.jpg,,Nestle,1
PF08,"Snickers Chocolate Snack Bar, Pack Of 24 X Rs. 30",,816,,,,Packaged Foods,Confectionary,Chocolates,"Snickers Chocolate Snack Bar, Pack Of 24 X Rs. 30",,,pf308.jpg,,Nestle,1
PF09,Orion Chocopie Pack Of 6 U,,75,,,,Packaged Foods,Confectionary,Chocolates,Orion Chocopie Pack Of 6 U,,,pf309.jpg,,Orion ,1
PF10,"Nestle Chocolate Milky Bar, Pack Of 28 X Rs. 5",,140,,,,Packaged Foods,Confectionary,Chocolates,"Nestle Chocolate Milky Bar, Pack Of 28 X Rs. 5",,,pf310.jpg,,Nestle,1
PF11,Nestle Bar One Chocolate Pack Of 24 X Rs. 10,,240,,,,Packaged Foods,Confectionary,Chocolates,Nestle Bar One Chocolate Pack Of 24 X Rs. 10,,,pf311.jpg,,Nestle,1
PF12,Nestle Munch chocolate Pouch,,80,,,,Packaged Foods,Confectionary,Chocolates,Nestle Munch chocolate Pouch,,,pf312.jpg,,Nestle,1
PF13,"Mars Chocolate Snack Bar, Pack Of 3 x Rs. 30",,120,,,,Packaged Foods,Confectionary,Chocolates,"Mars Chocolate Snack Bar, Pack Of 3 x Rs. 30",,,pf313.jpg,,Mars,1
PF14,Nestle Kit Kat Chocolate Family Pack,,75,,,,Packaged Foods,Confectionary,Chocolates,Nestle Kit Kat Chocolate Family Pack,,,pf314.jpg,,Nestle,1
PF15,"Nestle Kit Kat Chocolate 1 Finger, Pack Of 15 X Rs. 5",,100,,,,Packaged Foods,Confectionary,Chocolates,"Nestle Kit Kat Chocolate 1 Finger, Pack Of 15 X Rs. 5",,,pf315.jpg,,Nestle,1
PF16,"Galaxy Chocolate Milk, Pack Of 3 X Rs. 30",,102,,,,Packaged Foods,Confectionary,Chocolates,"Galaxy Chocolate Milk, Pack Of 3 X Rs. 30",,,pf316.jpg,,Galaxy,1
PF17,Cadbury Perk Pack Of 42 X Rs. 5,,210,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Perk Pack Of 42 X Rs. 5,,,pf317.jpg,,Cadbury,1
PF18,Cadbury Gems Surprise Ball,,40,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Gems Surprise Ball,,,pf318.jpg,,Cadbury,1
PF19,Cadbury Gems Pack Of 72 x Rs. 5,,360,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Gems Pack Of 72 x Rs. 5,,,pf319.jpg,,Cadbury,1
PF20,Cadbury Five Star Pack Of 40 x Rs. 10,,400,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Five Star Pack Of 40 x Rs. 10,,,pf320.jpg,,Cadbury,1
PF21,Cadbury Dairy Milk Roasted Almond,,45,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Dairy Milk Roasted Almond,,,pf321.jpg,,Cadbury,1
PF22,Cadbury Dairy Milk Fruit & Nut,,40,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Dairy Milk Fruit & Nut,,,pf322.jpg,,Cadbury,1
PF23,Cadbury Dairy Milk Crackle,,40,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Dairy Milk Crackle,,,pf323.jpg,,Cadbury,1
PF24,"Bounty Chocolate Miniatures, 150 g",,149,,,,Packaged Foods,Confectionary,Chocolates,"Bounty Chocolate Miniatures, 150 g",,,pf324.jpg,,Bounty,1
PF25,Cadbury Dairy Milk Pack Of 56 X Rs. 10,,560,,,,Packaged Foods,Confectionary,Chocolates,Cadbury Dairy Milk Pack Of 56 X Rs. 10,,,pf325.jpg,,Cadbury,1
