"product_id","name","price","d_price","w_price","search_keyword",
"5111","Bella Baby Happy Diapers S{3-8kg} 30 Nos Pouch","426","0","0","Bella Baby Happy Diapers S{3-8kg} 30 Nos Pouch,baby care,baby care,diapers&wipes",
"5113","Chicco Salviettine Detergenti Soft Cleansing Baby Wipes 72 Sheets Pouch","219","0","0","Chicco Salviettine Detergenti Soft Cleansing Baby Wipes 72 Sheets Pouch,,baby care,diapers&wipes",
"5114","Himalaya Baby Wipes 24 Nos Pouch","75","0","0","Himalaya Baby Wipes 24 Nos Pouch,,baby care,diapers&wipes",
"5115","Himalaya Gentle Baby Wipes 72 Nos Pouch","165","0","0","Himalaya Gentle Baby Wipes 72 Nos Pouch,,baby care,diapers&wipes",
"5116","Huggies Diapers Total Protection  48 Nos","790","0","0","Huggies Diapers Total Protection  48 Nos,,baby care,diapers&wipes",
"5120","Huggies Diapers Total Protection M edium 40 Nos","565","0","0","Huggies Diapers Total Protection M edium 40 Nos,,baby care,diapers&wipes",
"5121","Huggies Dry Diapers Large 56 Nos","740","0","0","Huggies Dry Diapers Large 56 Nos,,baby care,diapers&wipes",
"5123","Huggies Care Diapers Large, 5 U","70","0","0","Huggies Care Diapers Large, 5 U,,baby care,diapers&wipes",
"5124","Huggies Care Diapers Large, 7 U","110","0","0","Huggies Care Diapers Large, 7 U,,baby care,diapers&wipes",
"5125","Huggies Care Diapers Large, Pack Of 6 X 2 U","174","0","0","Huggies Care Diapers Large, Pack Of 6 X 2 U,,baby care,diapers&wipes",
"5126","Huggies Care Diapers Medium, 30 U","355","0","0","Huggies Care Diapers Medium, 30 U,,baby care,diapers&wipes",
"5127","Huggies Dry Diapers Medium  62 U","710","0","0","Huggies Dry Diapers Medium  62 U,,baby care,diapers&wipes",
"5128","Huggies Dry Diapers Medium  18 U","220","0","0","Huggies Dry Diapers Medium  18 U,,baby care,diapers&wipes",
"5129","Huggies Dry Diapers Medium  30 U","355","0","0","Huggies Dry Diapers Medium  30 U,,baby care,diapers&wipes",
"5130","Huggies Care Diapers Medium, 5 U","65","0","0","Huggies Care Diapers Medium, 5 U,,baby care,diapers&wipes",
"5131","Huggies Care Diapers Medium, 9 U","115","0","0","Huggies Care Diapers Medium, 9 U,,baby care,diapers&wipes",
"5132","Huggies Care Diapers Medium, Pack Of 6 X 2 U","168","0","0","Huggies Care Diapers Medium, Pack Of 6 X 2 U,,baby care,diapers&wipes",
"5133","Huggies Dry Dipers Small 30 Nos","270","0","0","Huggies Dry Dipers Small 30 Nos,,baby care,diapers&wipes",
"5134","Huggies Dry Dipers Small 10 Nos","100","0","0","Huggies Dry Dipers Small 10 Nos,,baby care,diapers&wipes",
"5135","Huggies Care Diapers Small, 5 U","52","0","0","Huggies Care Diapers Small, 5 U,,baby care,diapers&wipes",
"5136","Huggies Care Diapers Small, Pack Of 6 X 2 U","126","0","0","Huggies Care Diapers Small, Pack Of 6 X 2 U,,baby care,diapers&wipes",
"5137","Huggies Wonder Pants Large, Pack of 6 X 2s","174","0","0","Huggies Wonder Pants Large, Pack of 6 X 2s,,baby care,diapers&wipes",
"5138","Huggies Diapers Wonder Pants Medium  44 Nos Pouch","525","0","0","Huggies Diapers Wonder Pants Medium  44 Nos Pouch,,baby care,diapers&wipes",
"5139","Huggies Wonder Pants Medium, 20 U","240","0","0","Huggies Wonder Pants Medium, 20 U,,baby care,diapers&wipes",
"5140","Huggies Wonder Pants Medium, Pack of 6 X 2s","156","0","0","Huggies Wonder Pants Medium, Pack of 6 X 2s,,baby care,diapers&wipes",
"5141","Huggies Diapers New Baby 24 Pouch ","315","0","0","Huggies Diapers New Baby 24 Pouch ,,baby care,diapers&wipes",
"5142","Huggies Wonder Pants XL 16 Pouch","285","0","0","Huggies Wonder Pants XL 16 Pouch,,baby care,diapers&wipes",
"5143","Huggies Diapers Total Protection XL 46 Nos","750","0","0","Huggies Diapers Total Protection XL 46 Nos,,baby care,diapers&wipes",
"5144","Johnson & Johnson Baby Nappy Pads 20 Nos Pouch","145","0","0","Johnson & Johnson Baby Nappy Pads 20 Nos Pouch,,baby care,diapers&wipes",
"5145","Johnson 7 Johnson Baby Skin Care Wipes 2X80 Nos Pouch","380","0","0","Johnson 7 Johnson Baby Skin Care Wipes 2X80 Nos Pouch,,baby care,diapers&wipes",
"5146","Johnsons Baby Wipes Skin Care, 80 U","220","0","0","Johnsons Baby Wipes Skin Care, 80 U,,baby care,diapers&wipes",
"5147","Mamy Poko Baby Wipes 52 Wipes","99","0","0","Mamy Poko Baby Wipes 52 Wipes,,baby care,diapers&wipes",
"5148","Mamy Poko Pants Large, 20 U","265","0","0","Mamy Poko Pants Large, 20 U,,baby care,diapers&wipes",
"5149","Mamy Poko Pants Large, 56 U","699","0","0","Mamy Poko Pants Large, 56 U,,baby care,diapers&wipes",
"5150","Mamy Poko Pants Large, Pack Of 6 X 1 U","84","0","0","Mamy Poko Pants Large, Pack Of 6 X 1 U,,baby care,diapers&wipes",
"5151","Mamy Poko Pants Medium, 20 U","235","0","0","Mamy Poko Pants Medium, 20 U,,baby care,diapers&wipes",
"5152","Mamy Poko Pants Medium, 38 U","499","0","0","Mamy Poko Pants Medium, 38 U,,baby care,diapers&wipes",
"5153","Mamy Poko Pants Medium, 44 U","499","0","0","Mamy Poko Pants Medium, 44 U,,baby care,diapers&wipes",
"5154","Mamy Poko Pants Medium, 60 U","699","0","0","Mamy Poko Pants Medium, 60 U,,baby care,diapers&wipes",
"5155","Mamy Poko Pants Medium, Pack Of 6 X 1 U","78","0","0","Mamy Poko Pants Medium, Pack Of 6 X 1 U,,baby care,diapers&wipes",
"5156","Mamy Poko Pants Small, 18 U","195","0","0","Mamy Poko Pants Small, 18 U,,baby care,diapers&wipes",
"5157","Mamy Poko Pants Small, 48 U","499","0","0","Mamy Poko Pants Small, 48 U,,baby care,diapers&wipes",
"5158","Mamy Poko Pants Small, 9 U","99","0","0","Mamy Poko Pants Small, 9 U,,baby care,diapers&wipes",
"5159","Mamy Poko Pants Standard Large, 34 U","399","0","0","Mamy Poko Pants Standard Large, 34 U,,baby care,diapers&wipes",
"5160","Mamy Poko Pants Standard Large, Pack Of 4 X 1 U","72","0","0","Mamy Poko Pants Standard Large, Pack Of 4 X 1 U,,baby care,diapers&wipes",
"5161","Mamy Poko Pants Standard Medium, 36 U","399","0","0","Mamy Poko Pants Standard Medium, 36 U,,baby care,diapers&wipes",
"5162","Mamy Poko Pants Standard Medium, Pack Of 4 X 1 U","66","0","0","Mamy Poko Pants Standard Medium, Pack Of 4 X 1 U,,baby care,diapers&wipes",
"5163","Mamy Poko Pants Standard Medium, Pack Of 5 X 1 U","55","0","0","Mamy Poko Pants Standard Medium, Pack Of 5 X 1 U,,baby care,diapers&wipes",
"5164","Mamy Poko Pants Standard Small, 5 U","45","0","0","Mamy Poko Pants Standard Small, 5 U,,baby care,diapers&wipes",
"5165","Mamy Poko Pants XL , 32 U","499","0","0","Mamy Poko Pants XL , 32 U,,baby care,diapers&wipes",
"5166","Mamy Poko Pants XL, 46 U","699","0","0","Mamy Poko Pants XL, 46 U,,baby care,diapers&wipes",
"5167","Mamy Poko Pants XS, Pack of 6 X 10 U each","60","0","0","Mamy Poko Pants XS, Pack of 6 X 10 U each,,baby care,diapers&wipes",
"5168","Mamy Poko Pants XXL , 24 U","499","0","0","Mamy Poko Pants XXL , 24 U,,baby care,diapers&wipes",
"5169","Pampers Active Baby Diapers Large, 72 s, 6 Pads Free","1330","0","0","Pampers Active Baby Diapers Large, 72 s, 6 Pads Free,,baby care,diapers&wipes",
"5170","Pampers Active Baby Diapers XL, 52s, 4 Pads Free","1270","0","0","Pampers Active Baby Diapers XL, 52s, 4 Pads Free,,baby care,diapers&wipes",
"5171","Pampers Active Baby Pants Large, 36 U","490","0","0","Pampers Active Baby Pants Large, 36 U,,baby care,diapers&wipes",
"5172","Pampers baby wipes Natural clean, 72 U","219","0","0","Pampers baby wipes Natural clean, 72 U,,baby care,diapers&wipes",
"5173","Pampers baby wipes Natural clean, 72 U","65","0","0","Pampers baby wipes Natural clean, 72 U,,baby care,diapers&wipes",
"5174","Pampers Diapers Active Baby Large, 50 U","870","0","0","Pampers Diapers Active Baby Large, 50 U,,baby care,diapers&wipes",
"5175","Pampers Diapers Active Baby Medium, 62 U","950","0","0","Pampers Diapers Active Baby Medium, 62 U,,baby care,diapers&wipes",
"5176","Pampers Diapers Large, 18 U","245","0","0","Pampers Diapers Large, 18 U,,baby care,diapers&wipes",
"5177","Pampers Diapers Large, 38 U","510","0","0","Pampers Diapers Large, 38 U,,baby care,diapers&wipes",
"5178","Pampers Diapers Large, 5 U","70","0","0","Pampers Diapers Large, 5 U,,baby care,diapers&wipes",
"5179","Pampers Diapers Large, 60 U","799","0","0","Pampers Diapers Large, 60 U,,baby care,diapers&wipes",
"5180","Pampers Diapers Large, 9 U","125","0","0","Pampers Diapers Large, 9 U,,baby care,diapers&wipes",
"5181","Pampers Diapers Large, Pack Of 6 X 2 U","174","0","0","Pampers Diapers Large, Pack Of 6 X 2 U,,baby care,diapers&wipes",
"5182","Pampers Diapers Medium, 10 U","126","0","0","Pampers Diapers Medium, 10 U,,baby care,diapers&wipes",
"5183","Pampers Diapers Medium,Active Baby  20 U","320","0","0","Pampers Diapers Medium,Active Baby  20 U,,baby care,diapers&wipes",
"5184","Pampers Diapers Medium, 20 U","245","0","0","Pampers Diapers Medium, 20 U,,baby care,diapers&wipes",
"5185","Pampers Diapers Medium, 42 U","505","0","0","Pampers Diapers Medium, 42 U,,baby care,diapers&wipes",
"5186","Pampers Diapers Medium, 66 U","780","0","0","Pampers Diapers Medium, 66 U,,baby care,diapers&wipes",
"5187","Pampers Diapers Medium, Pack Of 3 X 5 U","65","0","0","Pampers Diapers Medium, Pack Of 3 X 5 U,,baby care,diapers&wipes",
"5188","Pampers Diapers Medium, Pack Of 6 X 2 U","162","0","0","Pampers Diapers Medium, Pack Of 6 X 2 U,,baby care,diapers&wipes",
"5189","Pampers Diapers New Baby, Small, 22 U","299","0","0","Pampers Diapers New Baby, Small, 22 U,,baby care,diapers&wipes",
"5190","Pampers Diapers Small, 11 U","120","0","0","Pampers Diapers Small, 11 U,,baby care,diapers&wipes",
"5191","Pampers Diapers Small, 5 U","55","0","0","Pampers Diapers Small, 5 U,,baby care,diapers&wipes",
"5192","Pampers Diapers Small, Pack Of 6 X 2 U","132","0","0","Pampers Diapers Small, Pack Of 6 X 2 U,,baby care,diapers&wipes",
"5193","Pampers Pants Active Baby, Large, 52 U","690","0","0","Pampers Pants Active Baby, Large, 52 U,,baby care,diapers&wipes",
"5194","Pampers Pants Medium , 42 U","490","0","0","Pampers Pants Medium , 42 U,,baby care,diapers&wipes",
"5195","Pampers Pants Medium, 6 U","690","0","0","Pampers Pants Medium, 6 U,,baby care,diapers&wipes",
"5196","Huggies  Wonder Pants Small 18 Nos","195","0","0","Huggies  Wonder Pants Small 18 Nos,,baby care,diapers&wipes",
"5197","Huggies Wonder Pants Medium  60 Nos","699","0","0","Huggies Wonder Pants Medium  60 Nos,,baby care,diapers&wipes",
"5198","Huggies Wonder Pants Large  38 Nos","530","0","0","Huggies Wonder Pants Large  38 Nos,,baby care,diapers&wipes",
"5199","Huggies Dipers Total Protection Small 46 Nos","560","0","0","Huggies Dipers Total Protection Small 46 Nos,,baby care,diapers&wipes",
"5200","Huggies Dipers Total Protection Small 26 Nos","320","0","0","Huggies Dipers Total Protection Small 26 Nos,,baby care,diapers&wipes",
"5201","Huggies Diapers Total Protection Medium 58 Nos","840","0","0","Huggies Diapers Total Protection Medium 58 Nos,,baby care,diapers&wipes",
"5202","Huggies Wonder Pants Small 48 Nos Pouch","540","0","0","Huggies Wonder Pants Small 48 Nos Pouch,,baby care,diapers&wipes",
