product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
em1,Kansal Agro Herbal Odourless Eggs Pack of 6,,70,,,,Egg & Meat,Eggs,,Kansal Agro Herbal Odourless Eggs Pack of 6,,,em1.jpg,,Kansal Agro,1
em2,Table Eggs 30 Nos Tray,,150,,,,Egg & Meat,Eggs,,Table Eggs 30 Nos Tray,,,em2.jpg,,grocode,1
em3,Table Eggs Pack Of 6 Pack,,31,,,,Egg & Meat,Eggs,,Table Eggs Pack Of 6 Pack,,,em3.jpg,,grocode,1
em4,Kansal Agro Brun Herbal Organic Eggs Pack of 6,,75,,,,Egg & Meat,Eggs,,Kansal Agro Brun Herbal Organic Eggs Pack of 6,,,em4.jpg,,Kansal Agro,1
em5,Kansal Agro Hoava Omege 3 Eggs Pack of 6,,80,,,,Egg & Meat,Eggs,,Kansal Agro Hoava Omege 3 Eggs Pack of 6,,,em5.jpg,,Kansal Agro,1
em6,"Venkys Chicken Nuggets, 500 g",,250,,,,Egg & Meat,Chicken,,"Venkys Chicken Nuggets, 500 g",,,em6.jpg,,Venkys,1
em7,"Venkys Spicy Salamis, 1 Kg",,283,,,,Egg & Meat,Chicken,,"Venkys Spicy Salamis, 1 Kg",,,em7.jpg,,Venkys,1
em9,Venkys Chicken Samosa 200gm,,130,,,,Egg & Meat,Chicken,,Venkys Chicken Samosa 200gm,,,em9.jpg,,Venkys,1
em10,Gader Marine Amritsari Crab Claw 250gm,,150,,,,Egg & Meat,Chicken,,Gader Marine Amritsari Crab Claw 250gm,,,em10.jpg,,Gader,1
em11,Venkys Chicken Plain Kheema 250gm ,,135,,,,Egg & Meat,Chicken,,Venkys Chicken Plain Kheema 250gm ,,,em11.jpg,,Venkys,1
em12,"Meatzza Cold Cuts Chicken Salami Slices, 1 Kg",,425,,,,Egg & Meat,Chicken,,"Meatzza Cold Cuts Chicken Salami Slices, 1 Kg",,,em12.jpg,,Meatzza,1
em13,"Meatzza Cold Cuts Chicken Sausages, 1 Kg",,440,,,,Egg & Meat,Chicken,,"Meatzza Cold Cuts Chicken Sausages, 1 Kg",,,em13.jpg,,Meatzza,1
em14,"Delicious Cold Cuts Chicken Salami, 500 g",,180,,,,Egg & Meat,Chicken,,"Delicious Cold Cuts Chicken Salami, 500 g",,,em14.jpg,,Delicious,1
