product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
PeC1,Parachute Advansed Coconut Hair Oil 300 ml,,135,,,,Personal Care,Hair Care,Hair Oil,Parachute Advansed Coconut Hair Oil 300 ml,,,p1.jpg,,Parachute,1
PeC2,Parachute Advansed Coconut Hair Oil 175 ml,,80,,,,Personal Care,Hair Care,Hair Oil,Parachute Advansed Coconut Hair Oil 175 ml,,,p2.jpg,,Parachute,1
PeC3,Parachute Coconut Hair Oil 175 ml,,55,,,,Personal Care,Hair Care,Hair Oil,Parachute Coconut Hair Oil 175 ml,,,p3.jpg,,Parachute,1
PeC4,Navratna Cool Hair Oil 300 ml,,260,,,,Personal Care,Hair Care,Hair Oil,Navratna Cool Hair Oil 300 ml,,,p4.jpg,,Navaratna,1
PeC5,"Vatika Coconut Hair Oil Enriched With Hibiscus,300 ml",,167,,,,Personal Care,Hair Care,Hair Oil,"Vatika Coconut Hair Oil Enriched With Hibiscus,300 ml",,,p5.jpg,,Vatica,1
PeC6,"Vatika Coconut Hair Oil Enriched With Hibiscus,150 ml",,84,,,,Personal Care,Hair Care,Hair Oil,"Vatika Coconut Hair Oil Enriched With Hibiscus,150 ml",,,p6.jpg,,Vatica,1
PeC7,Vatika Hair Oil 75 ml,,42,,,,Personal Care,Hair Care,Hair Oil,Vatika Hair Oil 75 ml,,,p7.jpg,,Vatica,1
PeC8,Navratna Cool Hair Oil 500 ml,,240,,,,Personal Care,Hair Care,Hair Oil,Navratna Cool Hair Oil 500 ml,,,p8.jpg,,Navaratna,1
PeC9,Dabur Almond Hair Oil 100 ml,,58,,,,Personal Care,Hair Care,Hair Oil,Dabur Almond Hair Oil 100 ml,,,p9.jpg,,Dabur,1
PeC10,Dabur Almond Hair Oil 200 ml,,108,,,,Personal Care,Hair Care,Hair Oil,Dabur Almond Hair Oil 200 ml,,,p10.jpg,,Dabur,1
PeC11,Parachute Advanced Ayurvedic Hair Oil 95 ml,,57,,,,Personal Care,Hair Care,Hair Oil,Parachute Advanced Ayurvedic Hair Oil 95 ml,,,p11.jpg,,Parachute,1
PeC12,Parachute Advanced Ayurvedic Hair Oil 190 ml,,106,,,,Personal Care,Hair Care,Hair Oil,Parachute Advanced Ayurvedic Hair Oil 190 ml,,,p12.jpg,,Parachute,1
PeC13,"Livon Hair Oil Hair Gain, 150 ml",,650,,,,Personal Care,Hair Care,Hair Oil,"Livon Hair Oil Hair Gain, 150 ml",,,p13.jpg,,Livon,1
PeC14,"Parachute Hair Oil Flexi, Pack of 6 X 40 ml",,66,,,,Personal Care,Hair Care,Hair Oil,"Parachute Hair Oil Flexi, Pack of 6 X 40 ml",,,p14.jpg,,Parachute,1
PeC15,Navratna Cool Hair Oil 2.7 ml,,384,,,,Personal Care,Hair Care,Hair Oil,Navratna Cool Hair Oil 2.7 ml,,,p15.jpg,,Navaratna,1
PeC16,"Nuzen Herbal Hair Oil Gold Herbal,100 ml",,396,,,,Personal Care,Hair Care,Hair Oil,"Nuzen Herbal Hair Oil Gold Herbal,100 ml",,,p16.jpg,,Nuzen,1
PeC17,Parachute Coconut Hair Oil Pack of 8 X 100 ml,,216,,,,Personal Care,Hair Care,Hair Oil,Parachute Coconut Hair Oil Pack of 8 X 100 ml,,,p17.jpg,,Parachute,1
PeC18,Dabur Amla Hair Oil Pack of 6 X 50 ml,,120,,,,Personal Care,Hair Care,Hair Oil,Dabur Amla Hair Oil Pack of 6 X 50 ml,,,p18.jpg,,Dabur,1
PeC19,Navratna Cool Hair Oil 50 ml,,35,,,,Personal Care,Hair Care,Hair Oil,Navratna Cool Hair Oil 50 ml,,,p19.jpg,,Navaratna,1
PeC20,Bajaj Almond Hair Oil 50 ml,,30,,,,Personal Care,Hair Care,Hair Oil,Bajaj Almond Hair Oil 50 ml,,,p20.jpg,,Bajaj,1
PeC21,Dabur Amla Hair Oil 500 ml,,190,,,,Personal Care,Hair Care,Hair Oil,Dabur Amla Hair Oil 500 ml,,,p21.jpg,,Dabur,1
PeC22,Navratna Cool Hair Oil 200 ml,,115,,,,Personal Care,Hair Care,Hair Oil,Navratna Cool Hair Oil 200 ml,,,p22.jpg,,Navaratna,1
PeC23,Navratna Cool Hair Oil 100 ml,,65,,,,Personal Care,Hair Care,Hair Oil,Navratna Cool Hair Oil 100 ml,,,p23.jpg,,Navaratna,1
PeC24,Parachute Coconut Hair Oil Pack of 3 U X 100 ml each,,93,,,,Personal Care,Hair Care,Hair Oil,Parachute Coconut Hair Oil Pack of 3 U X 100 ml each,,,p24.jpg,,Parachute,1
