product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
Ph1,Amrutanjan Back Pain Roll On 50 ml,,99,,,,Pharmacy OTC,Aches & Pains,,Amrutanjan Back Pain Roll On 50 ml,,,OTC1.jpg,,Amrutanjan,1
Ph2,Dr Ortho Capsules Pack Of 30,,177,,,,Pharmacy OTC,Aches & Pains,,Dr Ortho Capsules Pack Of 30,,,OTC2.jpg,,DR Ortho,1
Ph3,"Zandu Balm Ultra Power, Pack Of 20 X 8 ml",,30,,,,Pharmacy OTC,Aches & Pains,,"Zandu Balm Ultra Power, Pack Of 20 X 8 ml",,,OTC3.jpg,,Zandu,1
Ph4,Moov Ointment 10 g,,27,,,,Pharmacy OTC,Aches & Pains,,Moov Ointment 10 g,,,OTC4.jpg,,Moov,1
Ph5,Moov Spray 50 g,,105,,,,Pharmacy OTC,Aches & Pains,,Moov Spray 50 g,,,OTC5.jpg,,Moov,1
Ph6,Amrutanjan Muscle Spray 30 g,,75,,,,Pharmacy OTC,Aches & Pains,,Amrutanjan Muscle Spray 30 g,,,OTC6.jpg,,Amrutanjan,1
Ph7,Amrutanjan Cold Relief Rub 30 g,,40,,,,Pharmacy OTC,Aches & Pains,,Amrutanjan Cold Relief Rub 30 g,,,OTC7.jpg,,Amrutanjan,1
Ph8,"Amrutanjan Balm Faster Relaxation, 60 ml",,105,,,,Pharmacy OTC,Aches & Pains,,"Amrutanjan Balm Faster Relaxation, 60 ml",,,OTC8.jpg,,Amrutanjan,1
Ph9,"Amrutanjan Balm Aromatic, 60 ml",,105,,,,Pharmacy OTC,Aches & Pains,,"Amrutanjan Balm Aromatic, 60 ml",,,OTC9.jpg,,Amrutanjan,1
Ph10,Dr. Ortho Ayurvedic Oil 120 ml,,286,,,,Pharmacy OTC,Aches & Pains,,Dr. Ortho Ayurvedic Oil 120 ml,,,OTC10.jpg,,DR Ortho,1
Ph11,Zandu Balm Pack Of 20 X 8 ml,,560,,,,Pharmacy OTC,Aches & Pains,,Zandu Balm Pack Of 20 X 8 ml,,,OTC11.jpg,,Zandu,1
Ph12,Zandu Balm 25 ml,,80,,,,Pharmacy OTC,Aches & Pains,,Zandu Balm 25 ml,,,OTC12.jpg,,Zandu,1
Ph13,Moov Ointment 50 g,,99,,,,Pharmacy OTC,Aches & Pains,,Moov Ointment 50 g,,,OTC13.jpg,,Moov,1
Ph14,Moov Ointment 25 g,,60,,,,Pharmacy OTC,Aches & Pains,,Moov Ointment 25 g,,,OTC14.jpg,,Moov,1
Ph15,Moov Ointment 15 g,,42,,,,Pharmacy OTC,Aches & Pains,,Moov Ointment 15 g,,,OTC15.jpg,,Moov,1
Ph16,Menthoplus Balm 9 ml,,27,,,,Pharmacy OTC,Aches & Pains,,Menthoplus Balm 9 ml,,,OTC16.jpg,,Menthoplus,1
Ph17,Menthoplus Balm Pack Of 100 X 1 ml,,200,,,,Pharmacy OTC,Aches & Pains,,Menthoplus Balm Pack Of 100 X 1 ml,,,OTC17.jpg,,Menthoplus,1
Ph18,Iodex Pain Balm 50 g,,97,,,,Pharmacy OTC,Aches & Pains,,Iodex Pain Balm 50 g,,,OTC18.jpg,,Iodex,1
Ph19,Iodex Pain Balm 20 g,,55,,,,Pharmacy OTC,Aches & Pains,,Iodex Pain Balm 20 g,,,OTC19.jpg,,Iodex,1
