product_code, Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
st1,"Bilt 10 on 10 Notebook Single Ruled, 100 Pages",,35,,,,Stationary,Books,,"Bilt 10 on 10 Notebook Single Ruled, 100 Pages",,,S1.jpg,,Bilt 10 On 10,1
st2,"Classmate CBSE Notebook3-in-1, 180 Pages",,35,,,,Stationary,Books,,"Classmate CBSE Notebook3-in-1, 180 Pages",,,S2.jpg,,Classmate,1
st3,"Classmate A4 Notebook Single Ruled, 148 Pages",,45,,,,Stationary,Books,,"Classmate A4 Notebook Single Ruled, 148 Pages",,,S3.jpg,,Classmate,1
st4,"Bilt 10 on 10 Notebook Unruled, 180 Pages",,32,,,,Stationary,Books,,"Bilt 10 on 10 Notebook Unruled, 180 Pages",,,S4.jpg,,Bilt 10 On 10,1
st5,"Classmate Long Notebook Unruled, 180 Pages, Pack of 6 U",,240,,,,Stationary,Books,,"Classmate Long Notebook Unruled, 180 Pages, Pack of 6 U",,,S5.jpg,,Classmate,1
st6,"Classmate A4 Notebook Unruled, 240 Pages",,75,,,,Stationary,Books,,"Classmate A4 Notebook Unruled, 240 Pages",,,S6.jpg,,Classmate,1
st7,"Classmate CBSE Notebook Unruled , 180 Pages, Pack of 6",,210,,,,Stationary,Books,,"Classmate CBSE Notebook Unruled , 180 Pages, Pack of 6",,,S7.jpg,,Classmate,1
st8,"Classmate Long NotebookSingle Ruled, 180 Pages, Pack of 6",,240,,,,Stationary,Books,,"Classmate Long NotebookSingle Ruled, 180 Pages, Pack of 6",,,S8.jpg,,Classmate,1
st9,"Classmate CBSE NotebookSingle Ruled, 180 Pages, Pack of 6",,240,,,,Stationary,Books,,"Classmate CBSE NotebookSingle Ruled, 180 Pages, Pack of 6",,,S9.jpg,,Classmate,1
st10,Classmate Notebook Single Line 250 Pages,,145,,,,Stationary,Books,,Classmate Notebook Single Line 250 Pages,,,S10.jpg,,Classmate,1
st11,"Classmate Notebook Single Line, 172 Pages",,30,,,,Stationary,Books,,"Classmate Notebook Single Line, 172 Pages",,,S11.jpg,,Classmate,1
st12,"Classmate Notebook Single Ruled, 184 Pages",,55,,,,Stationary,Books,,"Classmate Notebook Single Ruled, 184 Pages",,,S12.jpg,,Classmate,1
st13,"Classmate Notebook Double Line, 172 Pages",,30,,,,Stationary,Books,,"Classmate Notebook Double Line, 172 Pages",,,S13.jpg,,Classmate,1
st14,"Classmate  Notebook Single Line, 140 Pages",,45,,,,Stationary,Books,,"Classmate  Notebook Single Line, 140 Pages",,,S14.jpg,,Classmate,1
