product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
BC_099,"Cerelac Baby Food Wheat Orange, Stage 2, 300 g",,190,,,,Baby Care,Feeding,Baby Food,"Cerelac Baby Food Wheat Orange, Stage 2, 300 g",,,baby99.jpg,,Cerelac,1
BC_100,"Cerelac Baby Food Wheat Honey, Stage 2, 300 g",,190,,,,Baby Care,Feeding,Baby Food,"Cerelac Baby Food Wheat Honey, Stage 2, 300 g",,,baby100.jpg,,Cerelac,1
BC_101,"Cerelac Baby Food Dal Veg Stage 4, 300 g",,205,,,,Baby Care,Feeding,Baby Food,"Cerelac Baby Food Dal Veg Stage 4, 300 g",,,baby101.jpg,,Cerelac,1
BC_102,"Cerelac Baby Food Wheat, Stage 1, 300 g",,155,,,,Baby Care,Feeding,Baby Food,"Cerelac Baby Food Wheat, Stage 1, 300 g",,,baby102.jpg,,Cerelac,1
BC_103,"Cerelac Baby Food Wheat Apple, Stage 1, 300 g",,165,,,,Baby Care,Feeding,Baby Food,"Cerelac Baby Food Wheat Apple, Stage 1, 300 g",,,baby103.jpg,,Cerelac,1
BC_104,"Cerelac Baby Food Wheat Apple Cherry, Stage 2, 300 g",,184,,,,Baby Care,Feeding,Baby Food,"Cerelac Baby Food Wheat Apple Cherry, Stage 2, 300 g",,,baby104.jpg,,Cerelac,1
BC_105,"Cerelac Baby Food Mixed Veg, Stage 3, 300 g",,198,,,,Baby Care,Feeding,Baby Food,"Cerelac Baby Food Mixed Veg, Stage 3, 300 g",,,baby105.jpg,,Cerelac,1
BC_106,"Cerelac Baby Food MixedFruit, Stage 3, 300 g",,198,,,,Baby Care,Feeding,Baby Food,"Cerelac Baby Food MixedFruit, Stage 3, 300 g",,,baby106.jpg,,Cerelac,1
BC_107,Manna First Baby Food Dates Rich {bonnie Babies For}400Gm Carton,,260,,,,Baby Care,Feeding,Baby Food,Manna First Baby Food Dates Rich bonnie Babies For 400Gm Carton,,,baby107.jpg,,Manna,1
BC_108,MannaFirst Baby Food Banana Rich {Bonnie Babies}400 gm Carton,,220,,,,Baby Care,Feeding,Baby Food,MannaFirst Baby Food Banana Rich Bonnie Babies 400 gm Carton,,,baby108.jpg,,Manna,1
BC_109,Cerelac Wheat Orange Stage 2  Carton 300 gm Carton,,190,,,,Baby Care,Feeding,Baby Food,Cerelac Wheat Orange Stage 2  Carton 300 gm Carton,,,baby109.jpg,,Cerelac,1
BC_110,Nestle Nestum Rice Dal  Vegetable Stage 2 300gm Carton,,128,,,,Baby Care,Feeding,Baby Food,Nestle Nestum Rice Dal  Vegetable Stage 2 300gm Carton,,,baby110.jpg,,Nestle ,1
BC_111,"Similac Baby Milk Advance 2, 400 g",,495,,,,Baby Care,Feeding,Baby Milk,"Similac Baby Milk Advance 2, 400 g",,,baby111.jpg,,Similac,1
BC_112,"Similac Baby Milk Advance 1, 400 g",,495,,,,Baby Care,Feeding,Baby Milk,"Similac Baby Milk Advance 1, 400 g",,,baby112.jpg,,Similac,1
BC_113,Nan Pro Baby Milk 400 g Stage 1,,490,,,,Baby Care,Feeding,Baby Milk,Nan Pro Baby Milk 400 g Stage 1,,,baby113.jpg,,Nan Pro,1
BC_114,Nan Pro Baby Milk 400 g Stage 2,,465,,,,Baby Care,Feeding,Baby Milk,Nan Pro Baby Milk 400 g Stage 2,,,baby114.jpg,,Nan Pro,1
BC_115,"Nan Pro Baby Milk Stage 3, 400 g",,460,,,,Baby Care,Feeding,Baby Milk,"Nan Pro Baby Milk Stage 3, 400 g",,,baby115.jpg,,Nan Pro,1
BC_116,"Lactogen Baby Milk Stage 2, 400 g",,270,,,,Baby Care,Feeding,Baby Milk,"Lactogen Baby Milk Stage 2, 400 g",,,baby116.jpg,,Lactogen,1
BC_117,"Lactogen Baby Milk Stage 1, 400 g",,276,,,,Baby Care,Feeding,Baby Milk,"Lactogen Baby Milk Stage 1, 400 g",,,baby117.jpg,,Lactogen,1
BC_118,"Lactogen Baby Milk Stage 3, 400 g",,263,,,,Baby Care,Feeding,Baby Milk,"Lactogen Baby Milk Stage 3, 400 g",,,baby118.jpg,,Lactogen,1
BC_119,"Amul Spray, Infant Milk Food Tin, 500 g",,185,,,,Baby Care,Feeding,Baby Milk,"Amul Spray, Infant Milk Food Tin, 500 g",,,baby119.jpg,,Amul,1
BC_120,"Amul Spray, Infant Milk Food Pouch, 1 Kg",,340,,,,Baby Care,Feeding,Baby Milk,"Amul Spray, Infant Milk Food Pouch, 1 Kg",,,baby120.jpg,,Amul,1
BC_121,Nestle Nan 4 400gm Carton,,455,,,,Baby Care,Feeding,Baby Milk,Nestle Nan 4 400gm Carton,,,baby121.jpg,,Nestle ,1
BC_122,Nestle Lactogen 4 400gm Carton,,256,,,,Baby Care,Feeding,Baby Milk,Nestle Lactogen 4 400gm Carton,,,baby122.jpg,,Nestle ,1
BC_123,Chicco Baby Soap 125 g,,95,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,Chicco Baby Soap 125 g,,,baby123.jpg,,Chicco,1
BC_124,Chicco Baby Soap 75 g,,65,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,Chicco Baby Soap 75 g,,,baby124.jpg,,Chicco,1
BC_125,"Chicco Shampoo No Tears, 200 ml",,199,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,"Chicco Shampoo No Tears, 200 ml",,,baby125.jpg,,Chicco,1
BC_126,"Chicco Shampoo No Tears, 500 ml",,399,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,"Chicco Shampoo No Tears, 500 ml",,,baby126.jpg,,Chicco,1
BC_127,"Johnsons Baby Bath Top to Toe, 200 ml",,130,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,"Johnsons Baby Bath Top to Toe, 200 ml",,,baby127.jpg,,Johnsons,1
BC_128,"Johnsons Baby Shampoo No More Tears, 100 ml",,80,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,"Johnsons Baby Shampoo No More Tears, 100 ml",,,baby128.jpg,,Johnsons,1
BC_129,"Johnsons Baby Shampoo No More Tears, 200 ml",,150,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,"Johnsons Baby Shampoo No More Tears, 200 ml",,,baby129.jpg,,Johnsons,1
BC_130,"Johnsons Baby Shampoo No More Tears, 200 ml",,150,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,"Johnsons Baby Shampoo No More Tears, 200 ml",,,baby130.jpg,,Johnsons,1
BC_131,"Johnsons Baby Shampoo No More Tears, 475 ml",,310,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,"Johnsons Baby Shampoo No More Tears, 475 ml",,,baby131.jpg,,Johnsons,1
BC_132,"Johnsons Baby Shampoo No More Tears, 60 ml",,50,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,"Johnsons Baby Shampoo No More Tears, 60 ml",,,baby132.jpg,,Johnsons,1
BC_133,Johnsons Baby Soap 100 g,,55,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,Johnsons Baby Soap 100 g,,,baby133.jpg,,Johnsons,1
BC_134,Johnsons Baby Soap 150 g,,75,,,,Baby Care,Bath & Skin,Baby Sops & Shampoos,Johnsons Baby Soap 150 g,,,baby134.jpg,,Johnsons,1
