product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
pf249,Parle Melody Toffee Pack Of 50 X Re. 1,,50,,,,Packaged Foods,Confectionary,Candy,Parle Melody Toffee Pack Of 50 X Re. 1,,,pf249.jpg,,Parle,1
pf250,Parle Melody Toffee Pack Of 100 X Re. 1,,100,,,,Packaged Foods,Confectionary,Candy,Parle Melody Toffee Pack Of 100 X Re. 1,,,pf250.jpg,,Parle,1
pf251,Parle Kaccha Mango Bite Pack Of 50 x Re. 1,,50,,,,Packaged Foods,Confectionary,Candy,Parle Kaccha Mango Bite Pack Of 50 x Re. 1,,,pf251.jpg,,Parle,1
pf252,Parle Melody Choclaty Pack Of 700 X Re. 1,,700,,,,Packaged Foods,Confectionary,Candy,Parle Melody Choclaty Pack Of 700 X Re. 1,,,pf252.jpg,,Parle,1
pf253,Parle Mango Bite Pack Of 50 x Re. 1,,50,,,,Packaged Foods,Confectionary,Candy,Parle Mango Bite Pack Of 50 x Re. 1,,,pf253.jpg,,Parle,1
pf254,"Alpenliebe Strawberry, Pack Of 200 U",,100,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Strawberry, Pack Of 200 U",,,pf254.jpg,,Alpenliebe,1
pf255,"Alpenliebe Original, Pack Of 200 U",,100,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Original, Pack Of 200 U",,,pf255.jpg,,Alpenliebe,1
pf256,Alpenliebe Mango Fillz Pack Of 270 U,,150,,,,Packaged Foods,Confectionary,Candy,Alpenliebe Mango Fillz Pack Of 270 U,,,pf256.jpg,,Alpenliebe,1
pf257,Alpenliebe Mango Fillz Pack Of 100 U,,50,,,,Packaged Foods,Confectionary,Candy,Alpenliebe Mango Fillz Pack Of 100 U,,,pf257.jpg,,Alpenliebe,1
pf258,"Alpenliebe Just Jelly Strawberry, Pack Of 135 U",,150,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Just Jelly Strawberry, Pack Of 135 U",,,pf258.jpg,,Alpenliebe,1
pf259,"Alpenliebe Pulpy Fruit Chew, Chhota Bheem",,150,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Pulpy Fruit Chew, Chhota Bheem",,,pf259.jpg,,Alpenliebe,1
pf260,"Alpenliebe Just Jelly Guava, Pack Of 500 X Re. 1",,500,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Just Jelly Guava, Pack Of 500 X Re. 1",,,pf260.jpg,,Alpenliebe,1
pf261,"Alpenliebe Pulpy Fruit Chew Justjelly Strawberry, Pack Of 50 X Re. 1",,500,,,,Packaged Foods,Confectionary,Candy,"Alpenliebe Pulpy Fruit Chew Justjelly Strawberry, Pack Of 50 X Re. 1",,,pf261.jpg,,Alpenliebe,1
pf262,Candyman Candy Jelicious Strawberry,,200,,,,Packaged Foods,Confectionary,Candy,Candyman Candy Jelicious Strawberry,,,pf262.jpg,,Candy,1
pf263,"Lotte Eclair Caramilk, Pack Of 10 X Rs. 30",,150,,,,Packaged Foods,Confectionary,Candy,"Lotte Eclair Caramilk, Pack Of 10 X Rs. 30",,,pf263.jpg,,Lotte €clair,1
pf264,"Halls Mint Sugar Free, 134.4 g",,180,,,,Packaged Foods,Confectionary,Candy,"Halls Mint Sugar Free, 134.4 g",,,pf264.jpg,,Halls,1
pf265,Parle Poppins Pack Of 25 X Rs. 2,,50,,,,Packaged Foods,Confectionary,Candy,Parle Poppins Pack Of 25 X Rs. 2,,,pf265.jpg,,Parle,1
pf266,IceBreakers Coolmint Mouth Freshner 24g,,100,,,,Packaged Foods,Confectionary,Candy,IceBreakers Coolmint Mouth Freshner 24g,,,pf266.jpg,,Ice Breakers,1
pf267,Halls XS Menthol Flavour 11.2gm Box,,15,,,,Packaged Foods,Confectionary,Candy,Halls XS Menthol Flavour 11.2gm Box,,,pf267.jpg,,Halls,1
pf268,Jolly Rancher Asorted Lollipops 50gm,,25,,,,Packaged Foods,Confectionary,Candy,Jolly Rancher Asorted Lollipops 50gm,,,pf268.jpg,,Jolly,1
pf269,Tic Tac Peach and Pasion Fruit Flavour,,10,,,,Packaged Foods,Confectionary,Candy,Tic Tac Peach and Pasion Fruit Flavour,,,pf269.jpg,,Tic Tac,1
pf270,Arcor ButterToffees Collection 315gm,,180,,,,Packaged Foods,Confectionary,Candy,Arcor ButterToffees Collection 315gm,,,pf270.jpg,,Arcor,1
pf271,Parie2in 1 Rosemilk Flavour 270gm Pouch,,50,,,,Packaged Foods,Confectionary,Candy,Parie2in 1 Rosemilk Flavour 270gm Pouch,,,pf271.jpg,,Parie,1
pf272,Tic Tac Strawberry Fields13gm Pouch,,15,,,,Packaged Foods,Confectionary,Candy,Tic Tac Strawberry Fields13gm Pouch,,,pf272.jpg,,Tic Tac,1
pf273,Tic Tac Mintensity 13gm Box,,15,,,,Packaged Foods,Confectionary,Candy,Tic Tac Mintensity 13gm Box,,,pf273.jpg,,Tic Tac,1
pf274,Parie Kaccha Mango Bite 316gm Pouch,,50,,,,Packaged Foods,Confectionary,Candy,Parie Kaccha Mango Bite 316gm Pouch,,,pf274.jpg,,Parie,1
pf275,Parle Orange Bite 320gm Pouch,,50,,,,Packaged Foods,Confectionary,Candy,Parle Orange Bite 320gm Pouch,,,pf275.jpg,,Parle,1
pf276,Tic Tac Mini 10.7gm Pouch ,,10,,,,Packaged Foods,Confectionary,Candy,Tic Tac Mini 10.7gm Pouch ,,,pf276.jpg,,Tic Tac,1
pf277,Nestle Polo Mint 21.8gm Pouch,,5,,,,Packaged Foods,Confectionary,Candy,Nestle Polo Mint 21.8gm Pouch,,,pf277.jpg,,Nestle,1
pf278,Simpkins Travel Sweets Mixed Mint Candy,,200,,,,Packaged Foods,Confectionary,Candy,Simpkins Travel Sweets Mixed Mint Candy,,,pf278.jpg,,Simpkins,1
pf279,Simpkins Travel Sweets Orange Lemon Candy,,200,,,,Packaged Foods,Confectionary,Candy,Simpkins Travel Sweets Orange Lemon Candy,,,pf279.jpg,,Simpkins,1
pf280,Simpkins Travel Sweets Tropical Fruit Candy,,200,,,,Packaged Foods,Confectionary,Candy,Simpkins Travel Sweets Tropical Fruit Candy,,,pf280.jpg,,Simpkins,1
pf281,Super Gummy Total Health Multi Vitamin Candy,,249,,,,Packaged Foods,Confectionary,Candy,Super Gummy Total Health Multi Vitamin Candy,,,pf281.jpg,,Super,1
