product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
gs001,"Chandni Chowk Basmati Rice Rozana, 2 Kg",,186,,,,Grocery & Staples,Rice & Flours,Rice,"Chandni Chowk Basmati Rice Rozana, 2 Kg",,,gs1.jpg,,Chandini,1
gs002,Chandni Chowk Basmati Rice 5 Kg,,668,,,,Grocery & Staples,Rice & Flours,Rice,Chandni Chowk Basmati Rice 5 Kg,,,gs2.jpg,,Chandini,1
gs003,Gajanan Polished Rice 25 Kg,,1750,,,,Grocery & Staples,Rice & Flours,Rice,Gajanan Polished Rice 25 Kg,,,gs3.jpg,,Gajanan,1
gs004,Gajanan Chef Special Rice 25 Kg,,1375,,,,Grocery & Staples,Rice & Flours,Rice,Gajanan Chef Special Rice 25 Kg,,,gs4.jpg,,Gajanan,1
gs005,"Gajanan Sona Masuri Super Rice Premium, 25 Kg",,1570,,,,Grocery & Staples,Rice & Flours,Rice,"Gajanan Sona Masuri Super Rice Premium, 25 Kg",,,gs5.jpg,,Gajanan,1
gs006,"Amira Basmati Indigo, 20 Kg",,4800,,,,Grocery & Staples,Rice & Flours,Rice,"Amira Basmati Indigo, 20 Kg",,,gs6.jpg,,Amira,1
gs007,Gajanan Silver Sona Masuri Rice 25 Kg,,1890,,,,Grocery & Staples,Rice & Flours,Rice,Gajanan Silver Sona Masuri Rice 25 Kg,,,gs7.jpg,,Gajanan,1
gs008,Gajanan Yellow Sona Masuri Rice 25 Kg,,1151,,,,Grocery & Staples,Rice & Flours,Rice,Gajanan Yellow Sona Masuri Rice 25 Kg,,,gs8.jpg,,Gajanan,1
gs009,Gajanan Green Best Sona Masuri Rice 25 Kg,,1111,,,,Grocery & Staples,Rice & Flours,Rice,Gajanan Green Best Sona Masuri Rice 25 Kg,,,gs9.jpg,,Gajanan,1
gs010,Mahateja Sona Masuri Rice 25 Kg,,1150,,,,Grocery & Staples,Rice & Flours,Rice,Mahateja Sona Masuri Rice 25 Kg,,,gs10.jpg,,Mahateja,1
gs011,Ashapurna Jeera 1 Kg,,299,,,,Grocery & Staples,Rice & Flours,Rice,Ashapurna Jeera 1 Kg,,,gs11.jpg,,Ashapurna,1
gs012,Ashapurna Jeera 25 Kg,,6000,,,,Grocery & Staples,Rice & Flours,Rice,Ashapurna Jeera 25 Kg,,,gs12.jpg,,Ashapurna,1
gs013,Ashapurna Jeera 200 g,,69,,,,Grocery & Staples,Rice & Flours,Rice,Ashapurna Jeera 200 g,,,gs13.jpg,,Ashapurna,1
gs014,Ratna Gold Idli Rice 5 Kg,,260,,,,Grocery & Staples,Rice & Flours,Rice,Ratna Gold Idli Rice 5 Kg,,,gs14.jpg,,Ratna Gold,1
gs015,Ratna Gold Vip Steam Rice 25 Kg,,1040,,,,Grocery & Staples,Rice & Flours,Rice,Ratna Gold Vip Steam Rice 25 Kg,,,gs15.jpg,,Ratna Gold,1
gs016,Ratna Gold Dosa Rice 5 Kg,,195,,,,Grocery & Staples,Rice & Flours,Rice,Ratna Gold Dosa Rice 5 Kg,,,gs16.jpg,,Ratna Gold,1
gs017,"Ratna Gold Butterfly Rice Raw, 25 Kg",,970,,,,Grocery & Staples,Rice & Flours,Rice,"Ratna Gold Butterfly Rice Raw, 25 Kg",,,gs17.jpg,,Ratna Gold,1
gs018,"Ratna Gold Sona Masuri Rice Peacock, 25 Kg",,1140,,,,Grocery & Staples,Rice & Flours,Rice,"Ratna Gold Sona Masuri Rice Peacock, 25 Kg",,,gs18.jpg,,Ratna Gold,1
gs019,"Ratna Gold Sona Masuri Rice Master Choice, 25 Kg",,1315,,,,Grocery & Staples,Rice & Flours,Rice,"Ratna Gold Sona Masuri Rice Master Choice, 25 Kg",,,gs19.jpg,,Ratna Gold,1
gs020,Ratna Gold Sona Masuri Rice 25 Kg,,1400,,,,Grocery & Staples,Rice & Flours,Rice,Ratna Gold Sona Masuri Rice 25 Kg,,,gs20.jpg,,Ratna Gold,1
gs021,Gajanan Orange Plus Wada Kolam Rice 25 Kg,,1770,,,,Grocery & Staples,Rice & Flours,Rice,Gajanan Orange Plus Wada Kolam Rice 25 Kg,,,gs21.jpg,,Gajanan,1
gs022,Gajanan Red Best Kolam Rice 25 Kg,,1560,,,,Grocery & Staples,Rice & Flours,Rice,Gajanan Red Best Kolam Rice 25 Kg,,,gs22.jpg,,Gajanan,1
gs023,Shri Lal Mahal Tibar Rice 5 Kg,,820,,,,Grocery & Staples,Rice & Flours,Rice,Shri Lal Mahal Tibar Rice 5 Kg,,,gs23.jpg,,Shri Lal Mahal,1
gs024,Shri Lal Mahal Diamond Rice 25 Kg,,3200,,,,Grocery & Staples,Rice & Flours,Rice,Shri Lal Mahal Diamond Rice 25 Kg,,,gs24.jpg,,Shri Lal Mahal,1
gs025,Gajanan Silver Plus Wada Kolam Rice 25 Kg,,1890,,,,Grocery & Staples,Rice & Flours,Rice,Gajanan Silver Plus Wada Kolam Rice 25 Kg,,,gs25.jpg,,Gajanan,1
gs026,"Best Basmati Premium, 25 Kg",,5040,,,,Grocery & Staples,Rice & Flours,Rice,"Best Basmati Premium, 25 Kg",,,gs26.jpg,,Best,1
gs027,"Best Basmati Premium, 5 Kg",,1000,,,,Grocery & Staples,Rice & Flours,Rice,"Best Basmati Premium, 5 Kg",,,gs27.jpg,,Best,1
gs028,"Aeroplane Basmati Steam Rice 1121 Super, 25 Kg",,2125,,,,Grocery & Staples,Rice & Flours,Rice,"Aeroplane Basmati Steam Rice 1121 Super, 25 Kg",,,gs28.jpg,,Aeroplane,1
gs029,"Aeroplane Basmati Steam Rice 1121, 25 Kg",,3000,,,,Grocery & Staples,Rice & Flours,Rice,"Aeroplane Basmati Steam Rice 1121, 25 Kg",,,gs29.jpg,,Aeroplane,1
