product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
hom1,"Gala Kitchen Scrubber Green, Pack of 2",,59,,,,Home Care,Cleaning,,"Gala Kitchen Scrubber Green, Pack of 2",,,h1.jpg,,Gala,1
hom2,Gala Kitchen Wipe Combination Pack of 3,,108,,,,Home Care,Cleaning,,Gala Kitchen Wipe Combination Pack of 3,,,h2.jpg,,Gala,1
hom3,Gala Swash Card 20,,28,,,,Home Care,Cleaning,,Gala Swash Card 20,,,h3.jpg,,Gala,1
hom4,"Lizol Disinfectant Floor Cleaner Floral, 500 ml",,67,,,,Home Care,Cleaning,,"Lizol Disinfectant Floor Cleaner Floral, 500 ml",,,h4.jpg,,Lizol,1
hom5,"Harpic Bathroom Cleaner Lemon, 500 ml",,68,,,,Home Care,Cleaning,,"Harpic Bathroom Cleaner Lemon, 500 ml",,,h5.jpg,,Harpic,1
hom6,"Harpic Bathroom Cleaner Floral, 500 ml",,68,,,,Home Care,Cleaning,,"Harpic Bathroom Cleaner Floral, 500 ml",,,h6.jpg,,Harpic,1
hom7,"Scotch Brite Scrub Pad 4cm X 6 cm, Pack of 10 U",,250,,,,Home Care,Cleaning,,"Scotch Brite Scrub Pad 4cm X 6 cm, Pack of 10 U",,,h7.jpg,,Scotch,1
hom8,Vim Dishwash Bar 500 g,,42,,,,Home Care,Cleaning,,Vim Dishwash Bar 500 g,,,h8.jpg,,Vim,1
hom9,Vim Dish Wash Bar 90 g,,5,,,,Home Care,Cleaning,,Vim Dish Wash Bar 90 g,,,h9.jpg,,Vim,1
hom10,Scotch Brite Scrub Pad 10 cm X 14 cm,,28,,,,Home Care,Cleaning,,Scotch Brite Scrub Pad 10 cm X 14 cm,,,h10.jpg,,Scotch,1
hom11,Scotch Brite Net Sponge 11 cm X 7 cm,,35,,,,Home Care,Cleaning,,Scotch Brite Net Sponge 11 cm X 7 cm,,,h11.jpg,,Scotch,1
hom12,Scotch Brite Scrub Sponge 8 cm X 8 cm,,25,,,,Home Care,Cleaning,,Scotch Brite Scrub Sponge 8 cm X 8 cm,,,h12.jpg,,Scotch,1
hom13,Scotch Brite Scrub Combo Pack 15 g,,28,,,,Home Care,Cleaning,,Scotch Brite Scrub Combo Pack 15 g,,,h13.jpg,,Scotch,1
hom14,Scotch Brite Sponge 20 cm X 17.5 cm,,120,,,,Home Care,Cleaning,,Scotch Brite Sponge 20 cm X 17.5 cm,,,h14.jpg,,Scotch,1
hom15,"Hamara Bright Scrub Pad 7.5cm X 7.5cm, Pack of 6 U",,48,,,,Home Care,Cleaning,,"Hamara Bright Scrub Pad 7.5cm X 7.5cm, Pack of 6 U",,,h15.jpg,,Hamara,1
hom16,Britex Scrub Pad Pack of 3 U,,60,,,,Home Care,Cleaning,,Britex Scrub Pad Pack of 3 U,,,h16.jpg,,Britex,1
hom17,Mr.Muscle Glass Cleaner 500 ml,,72,,,,Home Care,Cleaning,,Mr.Muscle Glass Cleaner 500 ml,,,h17.jpg,,Mr.Muscle,1
hom18,"Kiwi Wax Shine Black, 15 g",,24,,,,Home Care,Cleaning,,"Kiwi Wax Shine Black, 15 g",,,h18.jpg,,Kiwi,1
hom19,Scotch Brite Jet Scrubber 1 U,,130,,,,Home Care,Cleaning,,Scotch Brite Jet Scrubber 1 U,,,h19.jpg,,Scotch,1
hom20,Scotch Brite Sponge 6 U,,180,,,,Home Care,Cleaning,,Scotch Brite Sponge 6 U,,,h20.jpg,,Scotch,1
hom21,Britex Steel Scrubber 10 U,,180,,,,Home Care,Cleaning,,Britex Steel Scrubber 10 U,,,h21.jpg,,Britex,1
hom22,Scotch Brite Steel Scrub 6 U,,168,,,,Home Care,Cleaning,,Scotch Brite Steel Scrub 6 U,,,h22.jpg,,Scotch,1
hom23,Scotch Brite Jet Scrubber 1 U,,120,,,,Home Care,Cleaning,,Scotch Brite Jet Scrubber 1 U,,,h23.jpg,,Scotch,1
hom24,"Scotch Brite Sponge 17.5 cm X 15 cm, Pack of 12 U",,480,,,,Home Care,Cleaning,,"Scotch Brite Sponge 17.5 cm X 15 cm, Pack of 12 U",,,h24.jpg,,Scotch,1
hom25,Kiwi Shoe Brush Mini,,49,,,,Home Care,Cleaning,,Kiwi Shoe Brush Mini,,,h25.jpg,,Kiwi,1
hom26,Cherry Shoe Polish 40 g,,46,,,,Home Care,Cleaning,,Cherry Shoe Polish 40 g,,,h26.jpg,,Cherry,1
hom27,Cherry Liquid Polish 75 ml,,64,,,,Home Care,Cleaning,,Cherry Liquid Polish 75 ml,,,h27.jpg,,Cherry,1
hom28,Taski Floor Cleaner 1 Litre,,181,,,,Home Care,Cleaning,,Taski Floor Cleaner 1 Litre,,,h28.jpg,,Taski,1
hom29,Taski Glass Cleaner 1 Litre,,230,,,,Home Care,Cleaning,,Taski Glass Cleaner 1 Litre,,,h29.jpg,,Taski,1
hom30,Domex Zero Stain Toilet Cleaner Pink 450 ml,,68,,,,Home Care,Cleaning,,Domex Zero Stain Toilet Cleaner Pink 450 ml,,,h30.jpg,,Domex,1
hom31,"Domex Zero Stain Toilet Cleaner Green, 450 ml",,68,,,,Home Care,Cleaning,,"Domex Zero Stain Toilet Cleaner Green, 450 ml",,,h31.jpg,,Domex,1
hom32,"Harpic Toilet Cleaner Orange, 1 Litre",,125,,,,Home Care,Cleaning,,"Harpic Toilet Cleaner Orange, 1 Litre",,,h32.jpg,,Harpic,1
hom33,"Harpic Toilet Cleaner Rose, 1 Litre",,125,,,,Home Care,Cleaning,,"Harpic Toilet Cleaner Rose, 1 Litre",,,h33.jpg,,Harpic,1
hom34,Taski Toilet Cleaner 500 ml,,70,,,,Home Care,Cleaning,,Taski Toilet Cleaner 500 ml,,,h34.jpg,,Taski,1
