product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
PF835,Bingo Galata Masti Super Satre Masala 55,,10,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Bingo Galata Masti Super Satre Masala 55,,,pf751.jpg,,Bingo,1
PF836,Lays Baked Cream Herb and Onion Flavour,,30,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Lays Baked Cream Herb and Onion Flavour,,,pf752.jpg,,Lays,1
PF837,Carnitos Nacho Crisps Tomato Mexicana 15,,85,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Carnitos Nacho Crisps Tomato Mexicana 15,,,pf753.jpg,,Cornitos,1
PF838,Salsalito Taco Dinner Kit 285 gm Box,,199,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Salsalito Taco Dinner Kit 285 gm Box,,,pf754.jpg,,Salsalito,1
PF839,Salsalito Nachos Chips 180 gm Pouch,,100,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Salsalito Nachos Chips 180 gm Pouch,,,pf755.jpg,,Salsalito,1
PF840,Italos Baked Rice Chips Cheese Flavour ,,149,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Italos Baked Rice Chips Cheese Flavour ,,,pf756.jpg,,Italos,1
PF841,"Parle,s Masti potato Chips 26gm",,10,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Parle,s Masti potato Chips 26gm",,,pf757.jpg,,Parle,1
PF842,Italos Baked Rice Chips Cheese Flavour,,149,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,Italos Baked Rice Chips Cheese Flavour,,,pf758.jpg,,Italos,1
PF843,"Lays Chips Tomato Tango, Pack Of 14 U",,70,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Tomato Tango, Pack Of 14 U",,,pf759.jpg,,Lays,1
PF844,"Lays Chips Spanish Tomato, Large",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Spanish Tomato, Large",,,pf760.jpg,,Lays,1
PF845,"Lays Chips Salted, Pack Of 14 U",,70,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Salted, Pack Of 14 U",,,pf761.jpg,,Lays,1
PF846,"Lays Chips Masala, Pack Of 14 U",,70,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Masala, Pack Of 14 U",,,pf762.jpg,,Lays,1
PF847,"Lays Chips Magic Masala, Large",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Magic Masala, Large",,,pf763.jpg,,Lays,1
PF848,"Lays Chips Cream & Onion, Pack Of 14 U",,70,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Cream & Onion, Pack Of 14 U",,,pf764.jpg,,Lays,1
PF849,"Lays Chips Cream & Onion, Large",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Cream & Onion, Large",,,pf765.jpg,,Lays,1
PF850,"Lays Chips Classic Salted, Large",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Classic Salted, Large",,,pf766.jpg,,Lays,1
PF851,"Lays Chips Chile Limon, Large",,20,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Lays Chips Chile Limon, Large",,,pf767.jpg,,Lays,1
PF852,"Bingo Chips Tomato Potato, Small",,70,,,,Packaged Foods,Biscuits & Snacks,Bridges & Chips,"Bingo Chips Tomato Potato, Small",,,pf768.jpg,,Bingo,1
