product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
PeC451,"Colgate Toothpaste Max Fresh Blue, Pack Of 3 U X 80 g",,135,,,,Personal Care,Oral Care,Tooth Paste,"Colgate Toothpaste Max Fresh Blue, Pack Of 3 U X 80 g",,,p451.jpg,,Colgate,1
PeC452,"Colgate Toothpaste Max Fresh Red, Pack Of 3 U X 80 g",,135,,,,Personal Care,Oral Care,Tooth Paste,"Colgate Toothpaste Max Fresh Red, Pack Of 3 U X 80 g",,,p452.jpg,,Colgate,1
PeC453,"Close Up Toothpaste Red, 300 g",,145,,,,Personal Care,Oral Care,Tooth Paste,"Close Up Toothpaste Red, 300 g",,,p453.jpg,,Close Up,1
PeC454,"Pepsodent-G Toothpaste Gum Care, 100 g",,44,,,,Personal Care,Oral Care,Tooth Paste,"Pepsodent-G Toothpaste Gum Care, 100 g",,,p454.jpg,,Pepsodent,1
PeC455,"Pepsodent Toothpaste Gum Care, 300 g",,109,,,,Personal Care,Oral Care,Tooth Paste,"Pepsodent Toothpaste Gum Care, 300 g",,,p455.jpg,,Pepsodent,1
PeC456,Pepsodent 2 In 1 Toothpaste 150 g,,86,,,,Personal Care,Oral Care,Tooth Paste,Pepsodent 2 In 1 Toothpaste 150 g,,,p456.jpg,,Pepsodent,1
PeC457,"Close Up Toothpaste Red, Pack Of 12 X 35 g",,120,,,,Personal Care,Oral Care,Tooth Paste,"Close Up Toothpaste Red, Pack Of 12 X 35 g",,,p457.jpg,,Close Up,1
PeC458,"Colgate Toothpaste Cibaca, Pack Of 12 U X 35 g",,120,,,,Personal Care,Oral Care,Tooth Paste,"Colgate Toothpaste Cibaca, Pack Of 12 U X 35 g",,,p458.jpg,,Colgate,1
PeC459,"Colgate Toothpaste Sensitive, 80 g",,95,,,,Personal Care,Oral Care,Tooth Paste,"Colgate Toothpaste Sensitive, 80 g",,,p459.jpg,,Colgate,1
PeC460,"Colgate Toothpaste Max Fresh Blue, 150 g",,86,,,,Personal Care,Oral Care,Tooth Paste,"Colgate Toothpaste Max Fresh Blue, 150 g",,,p460.jpg,,Colgate,1
PeC461,"Colgate Toothpaste Max Fresh Red, 150 g",,86,,,,Personal Care,Oral Care,Tooth Paste,"Colgate Toothpaste Max Fresh Red, 150 g",,,p461.jpg,,Colgate,1
PeC462,"Colgate Toothpaste Cibaca, 175 g",,44,,,,Personal Care,Oral Care,Tooth Paste,"Colgate Toothpaste Cibaca, 175 g",,,p462.jpg,,Colgate,1
PeC463,Close Up Toothpaste Deep Action Red Hot 150 gm Tube,,86,,,,Personal Care,Oral Care,Tooth Paste,Close Up Toothpaste Deep Action Red Hot 150 gm Tube,,,p463.jpg,,Close Up,1
