product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
Ph99,Durex Condoms Feel Thin 3pcs Box,,19,,,,Pharmacy OTC,Foot Care & Intimacy,,Durex Condoms Feel Thin 3pcs Box,,,OTC99.jpg,,Durex,1
Ph100,MoodsCondoms Aloe Vera ,,23,,,,Pharmacy OTC,Foot Care & Intimacy,,MoodsCondoms Aloe Vera ,,,OTC100.jpg,,Moods,1
Ph101,Durex Play Vibration-Sensational Vibrations 1pc,,380,,,,Pharmacy OTC,Foot Care & Intimacy,,Durex Play Vibration-Sensational Vibrations 1pc,,,OTC101.jpg,,Durex,1
Ph102,Himalaya Footcare-Cream 20gm,,43,,,,Pharmacy OTC,Foot Care & Intimacy,,Himalaya Footcare-Cream 20gm,,,OTC102.jpg,,Himalaya,1
Ph103,Replenishing Foot Cream-Neem&Mint 60gm,,57,,,,Pharmacy OTC,Foot Care & Intimacy,,Replenishing Foot Cream-Neem&Mint 60gm,,,OTC103.jpg,,other,1
Ph104,Scholl Velvet Smooth-Roller Heads 1pc,,855,,,,Pharmacy OTC,Foot Care & Intimacy,,Scholl Velvet Smooth-Roller Heads 1pc,,,OTC104.jpg,,School,1
Ph105,"Dr Batra,s-Foot Care-Cream 100gm",,262,,,,Pharmacy OTC,Foot Care & Intimacy,,"Dr Batra,s-Foot Care-Cream 100gm",,,OTC105.jpg,,Dr Batra,1
Ph106,Hand&Foot Cleanser-Lemon Pedicure 210ml,,114,,,,Pharmacy OTC,Foot Care & Intimacy,,Hand&Foot Cleanser-Lemon Pedicure 210ml,,,OTC106.jpg,,other,1
Ph107,Yeturus Aloe-Foot Care Cream 70gm,,100,,,,Pharmacy OTC,Foot Care & Intimacy,,Yeturus Aloe-Foot Care Cream 70gm,,,OTC107.jpg,,other,1
Ph108,Foot Scrubber-4in1 1pc,,152,,,,Pharmacy OTC,Foot Care & Intimacy,,Foot Scrubber-4in1 1pc,,,OTC108.jpg,,other,1
Ph109,Aroma Massage Oil-Tea Tree Foot 90ml,,333,,,,Pharmacy OTC,Foot Care & Intimacy,,Aroma Massage Oil-Tea Tree Foot 90ml,,,OTC109.jpg,,other,1
Ph110,Kesh King Capsules Pack Of 30,,144,,,,Pharmacy OTC,Supplements,,Kesh King Capsules Pack Of 30,,,OTC110.jpg,,Kesh King,1
Ph111,Dabur Badam Tail 100 ml,,315,,,,Pharmacy OTC,Supplements,,Dabur Badam Tail 100 ml,,,OTC111.jpg,,Dabur,1
Ph112,Telebhone Brand Sat Isabgol 50 g,,41,,,,Pharmacy OTC,Supplements,,Telebhone Brand Sat Isabgol 50 g,,,OTC112.jpg,,Telebhone Brand,1
Ph113,Telephone Brand Sat Isabgol 200 g,,150,,,,Pharmacy OTC,Supplements,,Telephone Brand Sat Isabgol 200 g,,,OTC113.jpg,,Telebhone Brand,1
Ph114,"Protinex Protein Supplement Junior Chocolate, 400 g",,475,,,,Pharmacy OTC,Supplements,,"Protinex Protein Supplement Junior Chocolate, 400 g",,,OTC114.jpg,,Protinex,1
Ph115,"Glucon D Original, 500 g Jar",,95,,,,Pharmacy OTC,Supplements,,"Glucon D Original, 500 g Jar",,,OTC115.jpg,,Glucon D,1
Ph116,"Glucon D Original, 450 g Ceka",,85,,,,Pharmacy OTC,Supplements,,"Glucon D Original, 450 g Ceka",,,OTC116.jpg,,Glucon D,1
Ph117,"Glucon D Original, 200 g Ceka",,36,,,,Pharmacy OTC,Supplements,,"Glucon D Original, 200 g Ceka",,,OTC117.jpg,,Glucon D,1
Ph118,"Glucon D Original, 100 g",,23,,,,Pharmacy OTC,Supplements,,"Glucon D Original, 100 g",,,OTC118.jpg,,Glucon D,1
Ph119,"Glucon D Original, 1 Kg Jar",,165,,,,Pharmacy OTC,Supplements,,"Glucon D Original, 1 Kg Jar",,,OTC119.jpg,,Glucon D,1
Ph120,"Glucon D Original, 1 Kg Ceka",,150,,,,Pharmacy OTC,Supplements,,"Glucon D Original, 1 Kg Ceka",,,OTC120.jpg,,Glucon D,1
Ph121,"Glucon D Orange, 500 g Jar",,126,,,,Pharmacy OTC,Supplements,,"Glucon D Orange, 500 g Jar",,,OTC121.jpg,,Glucon D,1
Ph122,"Glucon D Orange, 500 g Ceka",,126,,,,Pharmacy OTC,Supplements,,"Glucon D Orange, 500 g Ceka",,,OTC122.jpg,,Glucon D,1
Ph123,"Glucon D Orange, 200 g Ceka",,58,,,,Pharmacy OTC,Supplements,,"Glucon D Orange, 200 g Ceka",,,OTC123.jpg,,Glucon D,1
Ph124,"Glucon D Orange, 100 g",,30,,,,Pharmacy OTC,Supplements,,"Glucon D Orange, 100 g",,,OTC124.jpg,,Glucon D,1
Ph125,"Glucon D Orange, 1 Kg Ceka",,216,,,,Pharmacy OTC,Supplements,,"Glucon D Orange, 1 Kg Ceka",,,OTC125.jpg,,Glucon D,1
Ph126,"Glucon D Nimbu Paani, 500 g Jar",,126,,,,Pharmacy OTC,Supplements,,"Glucon D Nimbu Paani, 500 g Jar",,,OTC126.jpg,,Glucon D,1
Ph127,"Glucon D Nimbu Paani, 500 g Ceka",,126,,,,Pharmacy OTC,Supplements,,"Glucon D Nimbu Paani, 500 g Ceka",,,OTC127.jpg,,Glucon D,1
Ph128,"Glucon D Nimbu Paani, 200 g Ceka",,58,,,,Pharmacy OTC,Supplements,,"Glucon D Nimbu Paani, 200 g Ceka",,,OTC128.jpg,,Glucon D,1
Ph129,"Glucon D Lime, 100 g",,30,,,,Pharmacy OTC,Supplements,,"Glucon D Lime, 100 g",,,OTC129.jpg,,Glucon D,1
Ph130,Dabur Glucose - D 100 g,,23,,,,Pharmacy OTC,Supplements,,Dabur Glucose - D 100 g,,,OTC130.jpg,,Dabur,1
Ph131,"Dabur Gluco Plus C Orange, 100 g",,28,,,,Pharmacy OTC,Supplements,,"Dabur Gluco Plus C Orange, 100 g",,,OTC131.jpg,,Dabur,1
Ph132,"Dabur Gluco Plus C Orange, 500 g",,115,,,,Pharmacy OTC,Supplements,,"Dabur Gluco Plus C Orange, 500 g",,,OTC132.jpg,,Dabur,1
Ph133,"Dabur Glucose - D Jar, 1 Kg",,157,,,,Pharmacy OTC,Supplements,,"Dabur Glucose - D Jar, 1 Kg",,,OTC133.jpg,,Dabur,1
Ph134,"Protinex Protein Supplement Chocolate, 400 g",,445,,,,Pharmacy OTC,Supplements,,"Protinex Protein Supplement Chocolate, 400 g",,,OTC134.jpg,,Protinex,1
Ph135,"Protinex Protein Supplement Chocolate, 200 g",,215,,,,Pharmacy OTC,Supplements,,"Protinex Protein Supplement Chocolate, 200 g",,,OTC135.jpg,,Protinex,1
Ph136,Dabur Badam Oil 50 ml,,165,,,,Pharmacy OTC,Supplements,,Dabur Badam Oil 50 ml,,,OTC136.jpg,,Dabur,1
Ph137,Dabur Glucose - D 250 g Jar,,49,,,,Pharmacy OTC,Supplements,,Dabur Glucose - D 250 g Jar,,,OTC137.jpg,,Dabur,1
Ph138,Dabur Glucose - D 500 g Jar,,92,,,,Pharmacy OTC,Supplements,,Dabur Glucose - D 500 g Jar,,,OTC138.jpg,,Dabur,1
Ph139,Patanjali Badam Pk 500gm,,225,,,,Pharmacy OTC,Supplements,,Patanjali Badam Pk 500gm,,,OTC139.jpg,,Patanjali,1
Ph140,Himalaya Kerala 60 Tablets Bottle,,110,,,,Pharmacy OTC,Supplements,,Himalaya Kerala 60 Tablets Bottle,,,OTC140.jpg,,Himalaya,1
Ph141,Himayala Ayur Slim 60 Tablets Bottle,,200,,,,Pharmacy OTC,Supplements,,Himayala Ayur Slim 60 Tablets Bottle,,,OTC141.jpg,,Himalaya,1
Ph142,Dabur Chyawanprash 500 gm Bottle,,152,,,,Pharmacy OTC,Supplements,,Dabur Chyawanprash 500 gm Bottle,,,OTC142.jpg,,Dabur,1
