product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
st96,Fevicol Squeezy MR 25 g,,10,,,,Stationary,Adhesives & Tapes,,Fevicol Squeezy MR 25 g,,,s96.jpg,,Fevicol,1
st97,"Fevicol MRSqueezy, 100 g",,32,,,,Stationary,Adhesives & Tapes,,"Fevicol MRSqueezy, 100 g",,,s97.jpg,,Fevicol,1
st98,Fevistik Super Glue Stick8 g,,25,,,,Stationary,Adhesives & Tapes,,Fevistik Super Glue Stick8 g,,,s98.jpg,,Fevistik,1
st99,FevistikSuper Glue Stick15 g,,40,,,,Stationary,Adhesives & Tapes,,FevistikSuper Glue Stick15 g,,,s99.jpg,,Fevistik,1
st100,"3M Scotch GluestickPurple, 15 g",,35,,,,Stationary,Adhesives & Tapes,,"3M Scotch GluestickPurple, 15 g",,,s100.jpg,,3M Scotch,1
st101,3M Scotch Magic Tape With Dispenser1.9 cm X 32.9 M,,140,,,,Stationary,Adhesives & Tapes,,3M Scotch Magic Tape With Dispenser1.9 cm X 32.9 M,,,s101.jpg,,3M Scotch,1
st102,Fevicol Adhesive Easy Flowm White 100 gm Tube,,40,,,,Stationary,Adhesives & Tapes,,Fevicol Adhesive Easy Flowm White 100 gm Tube,,,s102.jpg,,fevicol,1
st103,Fevicol Adhesive Easy Flowm White 200 gm Tube,,60,,,,Stationary,Adhesives & Tapes,,Fevicol Adhesive Easy Flowm White 200 gm Tube,,,s103.jpg,,fevicol,1
st104,Fevicol Adhesive Easy Flowm White 500 gm Tube,,100,,,,Stationary,Adhesives & Tapes,,Fevicol Adhesive Easy Flowm White 500 gm Tube,,,s104.jpg,,fevicol,1
st105,Mexim Color Tapepack 12 of U,,120,,,,Stationary,Adhesives & Tapes,,Mexim Color Tapepack 12 of U,,,s105.jpg,,Mexim,1
st106,3M Scotch Magic Tape With Dispenses  1.9cm X7.6 M,,80,,,,Stationary,Adhesives & Tapes,,3M Scotch Magic Tape With Dispenses  1.9cm X7.6 M,,,s106.jpg,,3M Scotch,1
st107,Fevicol Fabric Glue 30 ml,,19,,,,Stationary,Adhesives & Tapes,,Fevicol Fabric Glue 30 ml,,,s107.jpg,,Fevicol,1
st108,Mexim Cello TapePack  12 U,,60,,,,Stationary,Adhesives & Tapes,,Mexim Cello TapePack  12 U,,,s108.jpg,,Mexim,1
st109,3M Scotch Gluestick Purple 8 g X 3 U,,75,,,,Stationary,Adhesives & Tapes,,3M Scotch Gluestick Purple 8 g X 3 U,,,s109.jpg,,3M Scotch,1
st110,Mexim Foam 2 Sided Tape 2.54 cmX 5M,,50,,,,Stationary,Adhesives & Tapes,,Mexim Foam 2 Sided Tape 2.54 cmX 5M,,,s110.jpg,,Mexim,1
st111,"Fevi Kwik Instant Adhesive 1 g, Pack of 12 U",,120,,,,Stationary,Adhesives & Tapes,,"Fevi Kwik Instant Adhesive 1 g, Pack of 12 U",,,s111.jpg,,Fevi Kwik,1
st112,Steel Grip Insulation Tape 8,,12,,,,Stationary,Adhesives & Tapes,,Steel Grip Insulation Tape 8,,,s112.jpg,,Steel ,1
st113,Fevi Kwik 500 mg Pack 75 U,,375,,,,Stationary,Adhesives & Tapes,,Fevi Kwik 500 mg Pack 75 U,,,s113.jpg,,Fevi Kwik,1
