product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
BC_001,Bella Body Happy Diapers S{3-8kg} 30 Nos Pouch,,426,,,,Baby Care,Diapers & Wipes,,Bella Body Happy Diapers S 3-8kg 30 Nos Pouch,,,baby1.jpg,,Bella,1
BC_002,Chicco Baby Wipes 72 U,,169,,,,Baby Care,Diapers & Wipes,,Chicco Baby Wipes 72 U,,,baby2.jpg,,Chicco,1
BC_003,Chicco Salviettine Detergenti Soft Cleansing Baby Wipes 72 Sheets Pouch,,219,,,,Baby Care,Diapers & Wipes,,Chicco Salviettine Detergenti Soft Cleansing Baby Wipes 72 Sheets Pouch,,,baby3.jpg,,Chicco,1
BC_004,Himalaya Baby Wipes 24 Nos Pouch,,70,,,,Baby Care,Diapers & Wipes,,Himalaya Baby Wipes 24 Nos Pouch,,,baby4.jpg,,Himalaya,1
BC_005,Himalaya Gentle Baby Wipes 72 Nos Pouch,,165,,,,Baby Care,Diapers & Wipes,,Himalaya Gentle Baby Wipes 72 Nos Pouch,,,baby5.jpg,,Himalaya,1
BC_006,Huggies Diapers Total Protection  48 Nos,,790,,,,Baby Care,Diapers & Wipes,,Huggies Diapers Total Protection  48 Nos,,,baby6.jpg,,Huggies,1
BC_007,Huggies Diapers Total Protection  36 Nos,,580,,,,Baby Care,Diapers & Wipes,,Huggies Diapers Total Protection  36 Nos,,,baby7.jpg,,Huggies,1
BC_008,Huggies Diapers Total Protection  17 Nos,,275,,,,Baby Care,Diapers & Wipes,,Huggies Diapers Total Protection  17 Nos,,,baby8.jpg,,Huggies,1
BC_009,Huggies Diapers Total Protection M edium 58 Nos,,840,,,,Baby Care,Diapers & Wipes,,Huggies Diapers Total Protection M edium 58 Nos,,,baby9.jpg,,Huggies,1
BC_010,Huggies Diapers Total Protection M edium 40 Nos,,565,,,,Baby Care,Diapers & Wipes,,Huggies Diapers Total Protection M edium 40 Nos,,,baby10.jpg,,Huggies,1
BC_011,Huggies Dry Diapers Large 56 Nos,,740,,,,Baby Care,Diapers & Wipes,,Huggies Dry Diapers Large 56 Nos,,,baby11.jpg,,Huggies,1
BC_012,"Huggies Care Diapers Large, 30 U",,399,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Large, 30 U",,,baby12.jpg,,Huggies,1
BC_013,"Huggies Care Diapers Large, 5 U",,70,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Large, 5 U",,,baby13.jpg,,Huggies,1
BC_014,"Huggies Care Diapers Large, 7 U",,110,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Large, 7 U",,,baby14.jpg,,Huggies,1
BC_015,"Huggies Care Diapers Large, Pack Of 6 X 2 U",,174,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Large, Pack Of 6 X 2 U",,,baby15.jpg,,Huggies,1
BC_016,"Huggies Care Diapers Medium, 30 U",,355,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Medium, 30 U",,,baby16.jpg,,Huggies,1
BC_017,Huggies Dry Diapers Medium  62 U,,710,,,,Baby Care,Diapers & Wipes,,Huggies Dry Diapers Medium  62 U,,,baby17.jpg,,Huggies,1
BC_018,Huggies Dry Diapers Medium  18 U,,220,,,,Baby Care,Diapers & Wipes,,Huggies Dry Diapers Medium  18 U,,,baby18.jpg,,Huggies,1
BC_019,Huggies Dry Diapers Medium  30 U,,355,,,,Baby Care,Diapers & Wipes,,Huggies Dry Diapers Medium  30 U,,,baby19.jpg,,Huggies,1
BC_020,"Huggies Care Diapers Medium, 5 U",,65,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Medium, 5 U",,,baby20.jpg,,Huggies,1
BC_021,"Huggies Care Diapers Medium, 9 U",,115,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Medium, 9 U",,,baby21.jpg,,Huggies,1
BC_022,"Huggies Care Diapers Medium, Pack Of 6 X 2 U",,168,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Medium, Pack Of 6 X 2 U",,,baby22.jpg,,Huggies,1
BC_023,Huggies Dry Dipers Small 30 Nos,,270,,,,Baby Care,Diapers & Wipes,,Huggies Dry Dipers Small 30 Nos,,,baby23.jpg,,Huggies,1
BC_024,Huggies Dry Dipers Small 10 Nos,,100,,,,Baby Care,Diapers & Wipes,,Huggies Dry Dipers Small 10 Nos,,,baby24.jpg,,Huggies,1
BC_025,"Huggies Care Diapers Small, 5 U",,52,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Small, 5 U",,,baby25.jpg,,Huggies,1
BC_026,"Huggies Care Diapers Small, Pack Of 6 X 2 U",,126,,,,Baby Care,Diapers & Wipes,,"Huggies Care Diapers Small, Pack Of 6 X 2 U",,,baby26.jpg,,Huggies,1
BC_027,"Huggies Wonder Pants Large, Pack of 6 X 2s",,174,,,,Baby Care,Diapers & Wipes,,"Huggies Wonder Pants Large, Pack of 6 X 2s",,,baby27.jpg,,Huggies,1
BC_028,Huggies Diapers Wonder Pants Medium  44 Nos Pouch,,525,,,,Baby Care,Diapers & Wipes,,Huggies Diapers Wonder Pants Medium  44 Nos Pouch,,,baby28.jpg,,Huggies,1
BC_029,"Huggies Wonder Pants Medium, 20 U",,240,,,,Baby Care,Diapers & Wipes,,"Huggies Wonder Pants Medium, 20 U",,,baby29.jpg,,Huggies,1
BC_030,"Huggies Wonder Pants Medium, Pack of 6 X 2s",,156,,,,Baby Care,Diapers & Wipes,,"Huggies Wonder Pants Medium, Pack of 6 X 2s",,,baby30.jpg,,Huggies,1
BC_031,Huggies Diapers New Baby 24 Pouch ,,315,,,,Baby Care,Diapers & Wipes,,Huggies Diapers New Baby 24 Pouch ,,,baby31.jpg,,Huggies,1
BC_032,Huggies Wonder Pants XL 16 Pouch,,285,,,,Baby Care,Diapers & Wipes,,Huggies Wonder Pants XL 16 Pouch,,,baby32.jpg,,Huggies,1
BC_033,Huggies Diapers Total Protection XL 46 Nos,,750,,,,Baby Care,Diapers & Wipes,,Huggies Diapers Total Protection XL 46 Nos,,,baby33.jpg,,Huggies,1
BC_034,Johnson & Johnson Baby Nappy Pads 20 Nos Pouch,,145,,,,Baby Care,Diapers & Wipes,,Johnson & Johnson Baby Nappy Pads 20 Nos Pouch,,,baby34.jpg,,Johnsons,1
BC_035,Johnson 7 Johnson Baby Skin Care Wipes 2X80 Nos Pouch,,338,,,,Baby Care,Diapers & Wipes,,Johnson 7 Johnson Baby Skin Care Wipes 2X80 Nos Pouch,,,baby35.jpg,,Johnsons,1
BC_036,"Johnsons Baby Wipes Skin Care, 80 U",,220,,,,Baby Care,Diapers & Wipes,,"Johnsons Baby Wipes Skin Care, 80 U",,,baby36.jpg,,Johnsons,1
BC_037,Mamy Poko Baby Wipes 52 Wipes,,99,,,,Baby Care,Diapers & Wipes,,Mamy Poko Baby Wipes 52 Wipes,,,baby37.jpg,,Mamy Poco,1
BC_038,"Mamy Poko Pants Large, 20 U",,265,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Large, 20 U",,,baby38.jpg,,Mamy Poco,1
BC_039,"Mamy Poko Pants Large, 56 U",,699,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Large, 56 U",,,baby39.jpg,,Mamy Poco,1
BC_040,"Mamy Poko Pants Large, Pack Of 6 X 1 U",,84,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Large, Pack Of 6 X 1 U",,,baby40.jpg,,Mamy Poco,1
BC_041,"Mamy Poko Pants Medium, 20 U",,235,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Medium, 20 U",,,baby41.jpg,,Mamy Poco,1
BC_042,"Mamy Poko Pants Medium, 38 U",,499,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Medium, 38 U",,,baby42.jpg,,Mamy Poco,1
BC_043,"Mamy Poko Pants Medium, 44 U",,499,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Medium, 44 U",,,baby43.jpg,,Mamy Poco,1
BC_044,"Mamy Poko Pants Medium, 60 U",,699,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Medium, 60 U",,,baby44.jpg,,Mamy Poco,1
BC_045,"Mamy Poko Pants Medium, Pack Of 6 X 1 U",,78,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Medium, Pack Of 6 X 1 U",,,baby45.jpg,,Mamy Poco,1
BC_046,"Mamy Poko Pants Small, 18 U",,195,,,,Baby Care,Diapers & Wipes,,"Mamy Poko Pants Small, 18 U",,,baby46.jpg,,Mamy Poco,1
