product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
Bv198,Tang Orange 500 g,,110,,,,Beverages,Juices,Juices & Nector,Tang Orange 500 g,,,bv198.jpg,,Tang,1
Bv199,Tang Orange 750 g,,165,,,,Beverages,Juices,Juices & Nector,Tang Orange 750 g,,,bv199.jpg,,Tang,1
Bv200,Tropicana 100 % Mixed Fruit Juice 1 Ltr Tetra,,120,,,,Beverages,Juices,Juices & Nector,Tropicana 100 % Mixed Fruit Juice 1 Ltr Tetra,,,bv200.jpg,,Tropicana,1
Bv201,Tropicana 100% Apple Juice 200 ml Tetra,,30,,,,Beverages,Juices,Juices & Nector,Tropicana 100% Apple Juice 200 ml Tetra,,,bv201.jpg,,Tropicana,1
Bv202,Tropicana 100% Grape Juice 1  Ltr Tetra,,120,,,,Beverages,Juices,Juices & Nector,Tropicana 100% Grape Juice 1  Ltr Tetra,,,bv202.jpg,,Tropicana,1
Bv203,Tropicana 100% Mixed Fruit Juice 200 ml Tetra,,30,,,,Beverages,Juices,Juices & Nector,Tropicana 100% Mixed Fruit Juice 200 ml Tetra,,,bv203.jpg,,Tropicana,1
Bv204,Tropicana 100% Orange Juice200 ml Tetra,,30,,,,Beverages,Juices,Juices & Nector,Tropicana 100% Orange Juice200 ml Tetra,,,bv204.jpg,,Tropicana,1
Bv205,Tropicana 100%Apple Juice 1 Ltr Tetra,,120,,,,Beverages,Juices,Juices & Nector,Tropicana 100%Apple Juice 1 Ltr Tetra,,,bv205.jpg,,Tropicana,1
Bv206,Tropicana 100%Orange Juice 1 Ltr Tetra,,120,,,,Beverages,Juices,Juices & Nector,Tropicana 100%Orange Juice 1 Ltr Tetra,,,bv206.jpg,,Tropicana,1
Bv207,Tropicana 100%Orange Medley  Juice 1 Ltr Tetra,,120,,,,Beverages,Juices,Juices & Nector,Tropicana 100%Orange Medley  Juice 1 Ltr Tetra,,,bv207.jpg,,Tropicana,1
