product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,Brand,status
bv401,"Taj Mahal Tea Bag Cardamom Cardamom, Pack Of 25 Sachets",,150,,,,Beverages,Hot Drinks,Tea,"Taj Mahal Tea Bag Cardamom Cardamom, Pack Of 25 Sachets",,,bv401.jpg,,Taj Mahal,1
bv402,"Taj Mahal Tea Bag Darjeeling Darjeeling , Pack Of 25 Sachets",,121,,,,Beverages,Hot Drinks,Tea,"Taj Mahal Tea Bag Darjeeling Darjeeling , Pack Of 25 Sachets",,,bv402.jpg,,Taj Mahal,1
bv403,"Taj Mahal Tea Bags Ginger, Pack of 25 Sachets",,130,,,,Beverages,Hot Drinks,Tea,"Taj Mahal Tea Bags Ginger, Pack of 25 Sachets",,,bv403.jpg,,Taj Mahal,1
bv404,"Taj Mahal Tea Bags Masala, Pack Of 25 Sachets",,130,,,,Beverages,Hot Drinks,Tea,"Taj Mahal Tea Bags Masala, Pack Of 25 Sachets",,,bv404.jpg,,Taj Mahal,1
bv405,Taj Mahal Tea Bags Pack Of 100 Sachets,,130,,,,Beverages,Hot Drinks,Tea,Taj Mahal Tea Bags Pack Of 100 Sachets,,,bv405.jpg,,Taj Mahal,1
bv406,Taj Mahal Tea Bags Pack Of 25 Sachets,,40,,,,Beverages,Hot Drinks,Tea,Taj Mahal Tea Bags Pack Of 25 Sachets,,,bv406.jpg,,Taj Mahal,1
bv410,Tata Tea Agni 250 g,,58,,,,Beverages,Hot Drinks,Tea,Tata Tea Agni 250 g,,,bv410.jpg,,Tata Tea,1
bv411,Tata Tea Gold 250 g,,110,,,,Beverages,Hot Drinks,Tea,Tata Tea Gold 250 g,,,bv411.jpg,,Tata Tea,1
bv412,Tata Tea Gold 500 g,,220,,,,Beverages,Hot Drinks,Tea,Tata Tea Gold 500 g,,,bv412.jpg,,Tata Tea,1
bv413,Tata Tea Life 250 g,,101,,,,Beverages,Hot Drinks,Tea,Tata Tea Life 250 g,,,bv413.jpg,,Tata Tea,1
bv414,Tata Tea Premium 250 g,,92,,,,Beverages,Hot Drinks,Tea,Tata Tea Premium 250 g,,,bv414.jpg,,Tata Tea,1
bv415,"Tata Tea Premium Leaf, 500 g",,184,,,,Beverages,Hot Drinks,Tea,"Tata Tea Premium Leaf, 500 g",,,bv415.jpg,,Tata Tea,1
bv416,Tetley Green Tea 125 g,,90,,,,Beverages,Hot Drinks,Tea,Tetley Green Tea 125 g,,,bv416.jpg,,Tetley,1
bv417,"Tetley Green tea Lemon Honey, Pack Of 30 sachets",,135,,,,Beverages,Hot Drinks,Tea,"Tetley Green tea Lemon Honey, Pack Of 30 sachets",,,bv417.jpg,,Tetley,1
bv418,"Tetley Tea Bags Ginger, Pack Of 12 Sachets",,55,,,,Beverages,Hot Drinks,Tea,"Tetley Tea Bags Ginger, Pack Of 12 Sachets",,,bv418.jpg,,Tetley,1
bv419,"Tetley Tea Bags Green Tea Ginger Mint Lemon, Pack of 10 Sachets",,60,,,,Beverages,Hot Drinks,Tea,"Tetley Tea Bags Green Tea Ginger Mint Lemon, Pack of 10 Sachets",,,bv419.jpg,,Tetley,1
bv420,"Tetley Tea Bags Green Tea, Pack Of 10 Sachets",,60,,,,Beverages,Hot Drinks,Tea,"Tetley Tea Bags Green Tea, Pack Of 10 Sachets",,,bv420.jpg,,Tetley,1
bv421,"Tetley Tea Bags Green Tea, Pack Of 30 Sachets",,135,,,,Beverages,Hot Drinks,Tea,"Tetley Tea Bags Green Tea, Pack Of 30 Sachets",,,bv421.jpg,,Tetley,1
bv422,"Tetley Tea Bags Lemon & Honey, Pack Of 10 Sachets",,60,,,,Beverages,Hot Drinks,Tea,"Tetley Tea Bags Lemon & Honey, Pack Of 10 Sachets",,,bv422.jpg,,Tetley,1
bv423,"Tetley Tea Bags Lemon, Pack Of 12 Sachets",,46,,,,Beverages,Hot Drinks,Tea,"Tetley Tea Bags Lemon, Pack Of 12 Sachets",,,bv423.jpg,,Tetley,1
bv424,Tetley Tea Bags Pack Of 100 Sachets,,450,,,,Beverages,Hot Drinks,Tea,Tetley Tea Bags Pack Of 100 Sachets,,,bv424.jpg,,Tetley,1
