product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
FF269,"McCain French Fries, 450 g",,85,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain French Fries, 450 g",,,f269.jpg,,McCain,1
FF270,"McCain French Fries, 6 mm, 2.5 Kg",,340,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain French Fries, 6 mm, 2.5 Kg",,,f270.jpg,,McCain,1
FF271,"Sumeru Chilly Garlic French Fries, 400 g",,100,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Sumeru Chilly Garlic French Fries, 400 g",,,f271.jpg,,Sumeru,1
FF272,"Sumeru Piri Piri French Fries, 400 g",,105,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Sumeru Piri Piri French Fries, 400 g",,,f272.jpg,,Sumeru,1
FF273,"Sumeru Malabar Paratha, 300 g",,70,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Sumeru Malabar Paratha, 300 g",,,f273.jpg,,Sumeru,1
FF274,"Sumeru Breaded Vegetable Fingers, 1 Kg",,275,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Sumeru Breaded Vegetable Fingers, 1 Kg",,,f274.jpg,,Sumeru,1
FF275,"McCain Potato Cheese, 400 g",,180,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain Potato Cheese, 400 g",,,f275.jpg,,McCain,1
FF276,"Kings Corn Samosa, 200 g",,95,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Kings Corn Samosa, 200 g",,,f276.jpg,,Kings,1
FF277,"Kings Corn Samosa, 150 g",,65,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Kings Corn Samosa, 150 g",,,f277.jpg,,Kings,1
FF278,"Western Farm Fresh Veg Burger Patty, 1.2 Kg",,184,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Western Farm Fresh Veg Burger Patty, 1.2 Kg",,,f278.jpg,,Western,1
FF279,"Western Farm Fresh Spicy Burger Patty, 1.2 Kg",,215,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Western Farm Fresh Spicy Burger Patty, 1.2 Kg",,,f279.jpg,,Western,1
FF280,"Western Farm Fresh Cheese Corn Nuggets, 1 Kg",,245,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Western Farm Fresh Cheese Corn Nuggets, 1 Kg",,,f280.jpg,,Western,1
FF281,"Western Farm Fresh Aloo Tikki, 1 Kg",,145,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Western Farm Fresh Aloo Tikki, 1 Kg",,,f281.jpg,,Western,1
FF282,"Western Farm Fresh Malabar Paratha, 1 Kg",,128,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Western Farm Fresh Malabar Paratha, 1 Kg",,,f282.jpg,,Western,1
FF283,"Western Farm Fresh Spicy Corn Nuggets, 300 g",,68,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Western Farm Fresh Spicy Corn Nuggets, 300 g",,,f283.jpg,,Western,1
FF284,"McCain Chilli Garlic Potato Bites, 700 g",,155,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain Chilli Garlic Potato Bites, 700 g",,,f284.jpg,,McCain,1
FF285,"McCain French Fries, 1.25 Kg",,225,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain French Fries, 1.25 Kg",,,f285.jpg,,McCain,1
FF286,"McCain Smiles, 750 g",,155,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain Smiles, 750 g",,,f286.jpg,,McCain,1
FF287,"McCain Potato Cheese Shotz, 250 g",,120,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain Potato Cheese Shotz, 250 g",,,f287.jpg,,McCain,1
FF288,"McCain Potato Cheese Shotz, 1 Kg",,380,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain Potato Cheese Shotz, 1 Kg",,,f288.jpg,,McCain,1
FF289,"Western Farm Fresh French Fries, 400 g",,75,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"Western Farm Fresh French Fries, 400 g",,,f289.jpg,,McCain,1
FF290,"McCain Chilli Garlic Potato Bites, 450 g",,100,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain Chilli Garlic Potato Bites, 450 g",,,f290.jpg,,McCain,1
FF291,"McCain French Fries, Pack Of 5 U X 2.5 Kg",,1550,,,,Fresh & Frozen,Frozen Veg,Ready To Cook & Eat,"McCain French Fries, Pack Of 5 U X 2.5 Kg",,,f291.jpg,,McCain,1
