product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
FV204,Brinjal Long Purple 1kg,,44,,,,Fruits & Vegetables,Vegetables,,Brinjal Small Purple 1kg,,,fv204.jpg,,Grocode,1
FV205,Brinjal Long Purple 500 gm,,22,,,,Fruits & Vegetables,Vegetables,,Brinjal Small Purple 500 gm,,,fv205.jpg,,Grocode,1
FV206,Brinjal Long Purple 250 gm,,12,,,,Fruits & Vegetables,Vegetables,,Brinjal Small Purple 250 gm,,,fv206.jpg,,Grocode,1
FV207,Coccinea Hybrid 1 kg,,37,,,,Fruits & Vegetables,Vegetables,,Coccinea Hybrid 1 kg,,,fv207.jpg,,Grocode,1
FV208,Coccinea Hybrid 500gm,,18,,,,Fruits & Vegetables,Vegetables,,Coccinea Hybrid 500gm,,,fv208.jpg,,Grocode,1
FV209,Coccinea Hybrid 250gm,,10,,,,Fruits & Vegetables,Vegetables,,Coccinea Hybrid 250gm,,,fv209.jpg,,Grocode,1
FV210,Brinjal Round Voilet 1 kg,,41,,,,Fruits & Vegetables,Vegetables,,Brinjal Round Voilet 1 kg,,,fv210.jpg,,Grocode,1
FV211,Brinjal Round Voilet 500gm,,21,,,,Fruits & Vegetables,Vegetables,,Brinjal Round Voilet 500gm,,,fv211.jpg,,Grocode,1
FV212,Brinjal Round Voilet 250gm,,11,,,,Fruits & Vegetables,Vegetables,,Brinjal Round Voilet 250gm,,,fv212.jpg,,Grocode,1
FV213,Bitter Gourd 1 Kg,,43,,,,Fruits & Vegetables,Vegetables,,Bitter Gourd 1 Kg,,,fv213.jpg,,Grocode,1
FV214,Bitter Gourd 500gm,,23,,,,Fruits & Vegetables,Vegetables,,Bitter Gourd 500gm,,,fv214.jpg,,Grocode,1
FV215,Bitter Gourd 250 gm,,12,,,,Fruits & Vegetables,Vegetables,,Bitter Gourd 250 gm,,,fv215.jpg,,Grocode,1
FV216,Parwal 1Kg,,60,,,,Fruits & Vegetables,Vegetables,,Parwal 1Kg,,,fv216.jpg,,Grocode,1
FV217,Parwal 500 gm,,30,,,,Fruits & Vegetables,Vegetables,,Parwal 500 gm,,,fv217.jpg,,Grocode,1
FV218,Parwal 250 gm,,16,,,,Fruits & Vegetables,Vegetables,,Parwal 250 gm,,,fv218.jpg,,Grocode,1
FV219,Brinjal Round Green 1 Kg,,38,,,,Fruits & Vegetables,Vegetables,,Brinjal Round Green 1 Kg,,,fv219.jpg,,Grocode,1
FV220,Brinjal Round Green 500 gm,,19,,,,Fruits & Vegetables,Vegetables,,Brinjal Round Green 500 gm,,,fv220.jpg,,Grocode,1
FV221,Brinjal Round Green 250 gm,,10,,,,Fruits & Vegetables,Vegetables,,Brinjal Round Green 250 gm,,,fv221.jpg,,Grocode,1
FV222,Cowpea Karamani 1 kg,,50,,,,Fruits & Vegetables,Vegetables,,Cowpea Karamani 1 kg,,,fv222.jpg,,Grocode,1
FV223,Cowpea Karamani 500 gm,,25,,,,Fruits & Vegetables,Vegetables,,Cowpea Karamani 500 gm,,,fv223.jpg,,Grocode,1
FV224,Cowpea Karamani 250 gm,,13,,,,Fruits & Vegetables,Vegetables,,Cowpea Karamani 250 gm,,,fv224.jpg,,Grocode,1
FV225,Chilli Green 1 kg,,40,,,,Fruits & Vegetables,Vegetables,,Chilli Green 1 kg,,,fv225.jpg,,Grocode,1
FV226,Chilli Green 500 gm,,20,,,,Fruits & Vegetables,Vegetables,,Chilli Green 500 gm,,,fv226.jpg,,Grocode,1
