product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
hom301,"Henko Matic Intelligent Top Load Detergent Powder, 1 Kg",,205,,,,Home Care,Laundry Needs,Detergents,"Henko Matic Intelligent Top Load Detergent Powder, 1 Kg",,,h301.jpg,,Henko,1
hom302,"Henko Oxygen Detergent Powder, 1 Kg",,135,,,,Home Care,Laundry Needs,Detergents,"Henko Oxygen Detergent Powder, 1 Kg",,,h302.jpg,,Henko,1
hom303,"Wheel Active Detergent Bar Green, 130 g",,5,,,,Home Care,Laundry Needs,Detergents,"Wheel Active Detergent Bar Green, 130 g",,,h303.jpg,,Wheel,1
hom304,"Surf Excel Detergent Powder Quick Wash, 65 g",,10,,,,Home Care,Laundry Needs,Detergents,"Surf Excel Detergent Powder Quick Wash, 65 g",,,h305.jpg,,Surfexcel,1
hom305,Surf Excel Detergent Bar 250 g,,27,,,,Home Care,Laundry Needs,Detergents,Surf Excel Detergent Bar 250 g,,,h306.jpg,,Surfexcel,1
hom306,"Surf Excel Detergent Powder Quick Wash, 1 Kg",,185,,,,Home Care,Laundry Needs,Detergents,"Surf Excel Detergent Powder Quick Wash, 1 Kg",,,h307.jpg,,Surfexcel,1
hom307,"Wheel Detergent Powder Lemon & Jasmine, 500 g",,25,,,,Home Care,Laundry Needs,Detergents,"Wheel Detergent Powder Lemon & Jasmine, 500 g",,,h309.jpg,,Wheel,1
hom308,Rin Advance Detergent Bar 85 g,,5,,,,Home Care,Laundry Needs,Detergents,Rin Advance Detergent Bar 85 g,,,h310.jpg,,Rin,1
hom309,"Surf Excel Matic Powder Top Load, 1 Kg",,185,,,,Home Care,Laundry Needs,Detergents,"Surf Excel Matic Powder Top Load, 1 Kg",,,h311.jpg,,Surfexcel,1
hom310,"Ujala Supreme Fabric Whitener, 250 ml",,54,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Ujala Supreme Fabric Whitener, 250 ml",,,h312.jpg,,Ujala,1
hom311,"Ujala Supreme Fabric Whitener, 75 ml",,18,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Ujala Supreme Fabric Whitener, 75 ml",,,h313.jpg,,Ujala,1
hom312,"Safe Wash Fabric Conditioner Ocean Breeze, 800 ml",,170,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Safe Wash Fabric Conditioner Ocean Breeze, 800 ml",,,h314.jpg,,Safe,1
hom313,"Safe Wash Fabric Conditioner Garden Bouquet, 800 ml",,170,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Safe Wash Fabric Conditioner Garden Bouquet, 800 ml",,,h315.jpg,,Safe,1
hom314,"Safe Wash Fabric Conditioner Ocean Breeze, 200 ml",,46,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Safe Wash Fabric Conditioner Ocean Breeze, 200 ml",,,h316.jpg,,Safe,1
hom315,"Safe Wash Fabric Conditioner Garden Bouquet, 200 ml",,46,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Safe Wash Fabric Conditioner Garden Bouquet, 200 ml",,,h317.jpg,,Safe,1
hom316,"Comfort Fabric Conditioner Llilly Fresh, 800 ml",,170,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Comfort Fabric Conditioner Llilly Fresh, 800 ml",,,h318.jpg,,Comfort,1
hom317,"Comfort Fabric Conditioner Lilly Fresh, 200 ml",,46,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Comfort Fabric Conditioner Lilly Fresh, 200 ml",,,h319.jpg,,Comfort,1
hom318,Comfort Fabric Conditioner Morning fresh 800 ml,,170,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Comfort Fabric Conditioner Morning fresh 800 ml,,,h320.jpg,,Comfort,1
hom319,Rin Fabric Whitener 500 ml,,52,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Rin Fabric Whitener 500 ml,,,h321.jpg,,Rin,1
hom320,Revive Liquid Stiffener 400 g,,96,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Revive Liquid Stiffener 400 g,,,h322.jpg,,Revive,1
hom321,"Comfort Fabric Conditioner Morning Fresh, 200 ml",,46,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Comfort Fabric Conditioner Morning Fresh, 200 ml",,,h323.jpg,,Comfort,1
hom322,Revive Liquid Stiffener 200 g,,53,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Revive Liquid Stiffener 200 g,,,h324.jpg,,Revive,1
hom323,Robin Liquid Blue 150 ml,,30,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Robin Liquid Blue 150 ml,,,h325.jpg,,Robin,1
hom324,"Comfort Fabric Conditioner Green, 200 ml",,46,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Comfort Fabric Conditioner Green, 200 ml",,,h326.jpg,,Comfort,1
hom325,"Comfort Fabric Conditioner Green, 800 ml",,170,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,"Comfort Fabric Conditioner Green, 800 ml",,,h327.jpg,,Comfort,1
hom326,Vanish Fabric Stain Remover 500 ml,,70,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Vanish Fabric Stain Remover 500 ml,,,h328.jpg,,Vanish,1
hom327,Vanish Fabric Stain Remover 180 ml,,35,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Vanish Fabric Stain Remover 180 ml,,,h329.jpg,,Vanish,1
hom328,Vanish Fabric Stain Remover 450 g,,160,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Vanish Fabric Stain Remover 450 g,,,h330.jpg,,Vanish,1
hom329,Vanish Fabric Stain Remover 240 g,,90,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Vanish Fabric Stain Remover 240 g,,,h331.jpg,,Vanish,1
hom330,Vanish Fabric Stain Remover 120 g,,49,,,,Home Care,Laundry Needs,Fabric Conditioners & Stain Removers,Vanish Fabric Stain Remover 120 g,,,h332.jpg,,Vanish,1
hom331,Duracell Alkaline AAA Pack of 2 U,,65,,,,Home Care,Batteries & Torches,Batteries,Duracell Alkaline AAA Pack of 2 U,,,h333.jpg,,Duracell,1
hom332,Duracell Alkaline AA Pack of 2 U,,60,,,,Home Care,Batteries & Torches,Batteries,Duracell Alkaline AA Pack of 2 U,,,h334.jpg,,Duracell,1
hom333,"Panasonic AAA Cell Alkaline, Pack of 2 U",,40,,,,Home Care,Batteries & Torches,Batteries,"Panasonic AAA Cell Alkaline, Pack of 2 U",,,h335.jpg,,Panasonic,1
hom334,"Eveready AAA Cell Ultima 2112, Pack Of 6 U",,150,,,,Home Care,Batteries & Torches,Batteries,"Eveready AAA Cell Ultima 2112, Pack Of 6 U",,,h336.jpg,,Eveready,1
hom335,"Eveready AA Cell Ultima 2115, Pack Of 6 U",,152,,,,Home Care,Batteries & Torches,Batteries,"Eveready AA Cell Ultima 2115, Pack Of 6 U",,,h337.jpg,,Eveready,1
hom336,"Eveready AA Cell Gold 1005, Pack Of 10 Strips X 10 U",,1100,,,,Home Care,Batteries & Torches,Batteries,"Eveready AA Cell Gold 1005, Pack Of 10 Strips X 10 U",,,h338.jpg,,Eveready,1
hom337,Duracell Alkaline AAA Pack Of 6 U,,198,,,,Home Care,Batteries & Torches,Batteries,Duracell Alkaline AAA Pack Of 6 U,,,h339.jpg,,Duracell,1
hom338,Duracell Alkaline AA Pack Of 6 U,,198,,,,Home Care,Batteries & Torches,Batteries,Duracell Alkaline AA Pack Of 6 U,,,h340.jpg,,Duracell,1
hom339,"Eveready AA Cell Gold 1005 , Pack Of 10 U",,110,,,,Home Care,Batteries & Torches,Batteries,"Eveready AA Cell Gold 1005 , Pack Of 10 U",,,h341.jpg,,Eveready,1
hom340,"Eveready AAA Cell Red 1012, Pack Of 10 U",,110,,,,Home Care,Batteries & Torches,Batteries,"Eveready AAA Cell Red 1012, Pack Of 10 U",,,h342.jpg,,Eveready,1
hom341,"Panasonic AAA Remote Cell Gold, Pack of 20 U",,200,,,,Home Care,Batteries & Torches,Batteries,"Panasonic AAA Remote Cell Gold, Pack of 20 U",,,h343.jpg,,Panasonic,1
hom342,"Panasonic AA Cell Gold Plus, Pack Of 10 U",,110,,,,Home Care,Batteries & Torches,Batteries,"Panasonic AA Cell Gold Plus, Pack Of 10 U",,,h344.jpg,,Panasonic,1
hom343,"Eveready AA Cell Red 1015, Pack Of 10 U",,120,,,,Home Care,Batteries & Torches,Batteries,"Eveready AA Cell Red 1015, Pack Of 10 U",,,h345.jpg,,Eveready,1
hom344,Duracell Alkaline AAA Battery Pack of 6 U,,175,,,,Home Care,Batteries & Torches,Batteries,Duracell Alkaline AAA Battery Pack of 6 U,,,h346.jpg,,Duracell,1
hom345,Duracell Ultra AAA   2pcs,,65,,,,Home Care,Batteries & Torches,Batteries,Duracell Ultra AAA   2pcs,,,h347.jpg,,Duracell,1
hom346,Duracell 9v Battery Value Pack 2pc,,420,,,,Home Care,Batteries & Torches,Batteries,Duracell 9v Battery Value Pack 2pc,,,h348.jpg,,Duracell,1
hom347,Eveready Red C Size Batteries 2 Nos,,35,,,,Home Care,Batteries & Torches,Batteries,Eveready Red C Size Batteries 2 Nos,,,h349.jpg,,Eveready,1
hom348,Eveready Rechargeable Digi LED 180 Degree,,850,,,,Home Care,Batteries & Torches,Torches,Eveready Rechargeable Digi LED 180 Degree,,,h350.jpg,,Eveready,1
hom349,Eveready Rechargeable Digi LED 360 degree,,949,,,,Home Care,Batteries & Torches,Torches,Eveready Rechargeable Digi LED 360 degree,,,h351.jpg,,Eveready,1
hom350,Eveready Flashlight DL 25,,135,,,,Home Care,Batteries & Torches,Torches,Eveready Flashlight DL 25,,,h352.jpg,,Eveready,1
hom351,"Eveready Flashlight DL 41, Nav Josh",,85,,,,Home Care,Batteries & Torches,Torches,"Eveready Flashlight DL 41, Nav Josh",,,h353.jpg,,Eveready,1
hom352,Eveready Flashlight DL 71,,185,,,,Home Care,Batteries & Torches,Torches,Eveready Flashlight DL 71,,,h354.jpg,,Eveready,1
hom353,Eveready Lamp Portable LED Lamp,,1499,,,,Home Care,Batteries & Torches,Torches,Eveready Lamp Portable LED Lamp,,,h355.jpg,,Eveready,1
hom354,Eveready Torch Digi Led DL-02,,120,,,,Home Care,Batteries & Torches,Torches,Eveready Torch Digi Led DL-02,,,h356.jpg,,Eveready,1
hom355,Eveready Torch Commander DL-66,,450,,,,Home Care,Batteries & Torches,Torches,Eveready Torch Commander DL-66,,,h357.jpg,,Eveready,1
hom356,Eveready Torch Digi LED DL-50,,120,,,,Home Care,Batteries & Torches,Torches,Eveready Torch Digi LED DL-50,,,h358.jpg,,Eveready,1
hom357,Eveready Torch Digi LED DL-36,,100,,,,Home Care,Batteries & Torches,Torches,Eveready Torch Digi LED DL-36,,,h359.jpg,,Eveready,1
hom358,Eveready Lantern Homelite HL 04,,225,,,,Home Care,Batteries & Torches,Torches,Eveready Lantern Homelite HL 04,,,h360.jpg,,Eveready,1
hom359,Eveready Torch Digi LED DL-10,,140,,,,Home Care,Batteries & Torches,Torches,Eveready Torch Digi LED DL-10,,,h361.jpg,,Eveready,1
hom360,Eveready Rechargeable Torch DL-92,,199,,,,Home Care,Batteries & Torches,Torches,Eveready Rechargeable Torch DL-92,,,h362.jpg,,Eveready,1
hom361,"Eveready Flashlight DL 01, Venus",,125,,,,Home Care,Batteries & Torches,Torches,"Eveready Flashlight DL 01, Venus",,,h363.jpg,,Eveready,1
hom362,Eveready Torch Rechargeable HL 51,,1575,,,,Home Care,Batteries & Torches,Torches,Eveready Torch Rechargeable HL 51,,,h364.jpg,,Eveready,1
hom363,Eveready Torch Rechargeable DL-91,,300,,,,Home Care,Batteries & Torches,Torches,Eveready Torch Rechargeable DL-91,,,h365.jpg,,Eveready,1
hom364,Eveready Rechargeable Torch DL-93,,249,,,,Home Care,Batteries & Torches,Torches,Eveready Rechargeable Torch DL-93,,,h366.jpg,,Eveready,1
hom365,Eveready Ultra LED Torch DL-77,,245,,,,Home Care,Batteries & Torches,Torches,Eveready Ultra LED Torch DL-77,,,h367.jpg,,Eveready,1
hom366,Link-Extenction Board 4001:6 sockets,,349,,,,Home Care,Batteries & Torches,Torches,Link-Extenction Board 4001:6 sockets,,,h368.jpg,,Link,1
hom367,Link-Extenction Board 4001:4 sockets,,205,,,,Home Care,Batteries & Torches,Torches,Link-Extenction Board 4001:4 sockets,,,h369.jpg,,Link,1
hom368,Eveready Cfi Mini Bulb,,150,,,,Home Care,Batteries & Torches,Torches,Eveready Cfi Mini Bulb,,,h370.jpg,,Eveready,1
hom369,Eveready-Digiled Dl91 Recharge,,300,,,,Home Care,Batteries & Torches,Torches,Eveready-Digiled Dl91 Recharge,,,h371.jpg,,Eveready,1
hom370,Eveready Rechargeable Battery 700 NIMAH AA,,250,,,,Home Care,Batteries & Torches,Torches,Eveready Rechargeable Battery 700 NIMAH AA,,,h372.jpg,,Eveready,1
hom371,Wipro-Smart Lite Cfl 2 u 15 w,,200,,,,Home Care,Batteries & Torches,Torches,Wipro-Smart Lite Cfi 2 u 15 w,,,h373.jpg,,Wipro,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
