product_code,product_name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,Sub_Description ,brand,status
PF348,Happydent Chewing Gum Complete 22gm jar,,30,,,,Packaged Foods,Confectionary,Gums & Mints,Happydent Chewing Gum Complete 22gm jar,,,PF451.jpg,,Happydent,1
PF349,Orbit Sugar Free Mixed Fruit Chewing Gum 22gm Jar,,50,,,,Packaged Foods,Confectionary,Gums & Mints,Orbit Sugar Free Mixed Fruit Chewing Gum 22gm Jar,,,PF452.jpg,,Oribit,1
PF350,Happydent chewing gum 6 pcs box,,5,,,,Packaged Foods,Confectionary,Gums & Mints,Happydent chewing gum 6 pcs box,,,PF453.jpg,,Happydent,1
PF351,smint sugar free water melon & pineapple flavour chewing 6.4,,35,,,,Packaged Foods,Confectionary,Gums & Mints,smint sugar free water melon & pineapple flavour chewing 6.4,,,PF454.jpg,,Smint,1
PF352,wrigleys Boomer Fresh Mint Flavour Bubblegum,,5,,,,Packaged Foods,Confectionary,Gums & Mints,wrigleys Boomer Fresh Mint Flavour Bubblegum,,,PF455.jpg,,Wrigleys,1
PF353,"Lotte Eclair Coffee Bite, Pack Of 100 X Re. 1",,100,,,,Packaged Foods,Confectionary,Toffees & Eclairs,"Lotte Eclair Coffee Bite, Pack Of 100 X Re. 1",,,PF456.jpg,,Lotte,1
PF354,"Lotte Eclair Caramilk, Pack Of 50 X Re. 1",,50,,,,Packaged Foods,Confectionary,Toffees & Eclairs,"Lotte Eclair Caramilk, Pack Of 50 X Re. 1",,,PF457.jpg,,Lotte,1
PF355,Nutrine Mahalacto Toffee Pack Of 100 X 50 p,,50,,,,Packaged Foods,Confectionary,Toffees & Eclairs,Nutrine Mahalacto Toffee Pack Of 100 X 50 p,,,PF458.jpg,,Nutrine ,1
PF356,"Cadbury Eclairs Chocolate, Pack Of 700 U",,784,,,,Packaged Foods,Confectionary,Toffees & Eclairs,"Cadbury Eclairs Chocolate, Pack Of 700 U",,,PF459.jpg,,Cadbury,1
PF357,Cadbury Eclairs 115 U,,115,,,,Packaged Foods,Confectionary,Toffees & Eclairs,Cadbury Eclairs 115 U,,,PF460.jpg,,Cadbury,1
PF358,"Cadbury Eclairs Chocolate, 56 U",,56,,,,Packaged Foods,Confectionary,Toffees & Eclairs,"Cadbury Eclairs Chocolate, 56 U",,,PF461.jpg,,Cadbury,1
PF359,Alpenliebe Eclairs Pack of 150 U,,150,,,,Packaged Foods,Confectionary,Toffees & Eclairs,Alpenliebe Eclairs Pack of 150 U,,,PF462.jpg,,Alpenliebe,1
PF360,Alpenliebe Juzt Jelly Guava Flavour 62.9 gm Pouch,,20,,,,Packaged Foods,Confectionary,Toffees & Eclairs,Alpenliebe Juzt Jelly Guava Flavour 62.9 gm Pouch,,,PF463.jpg,,Alpenliebe,1
PF361,Mentos Orange Flavour Candy 31.2 gm Pack,,10,,,,Packaged Foods,Confectionary,Toffees & Eclairs,Mentos Orange Flavour Candy 31.2 gm Pack,,,PF464.jpg,,Mentos,1
PF362,Mentos Mink Flavour Candy 31.2 gm Pack,,10,,,,Packaged Foods,Confectionary,Toffees & Eclairs,Mentos Mink Flavour Candy 31.2 gm Pack,,,PF465.jpg,,Mentos,1
PF363,Parle Mango Bite 320 gm Pouch,,50,,,,Packaged Foods,Confectionary,Toffees & Eclairs,Parle Mango Bite 320 gm Pouch,,,PF466.jpg,,Parle,1
